산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,다사업사업체,다사업체종사자,300명이상사업체,300명이상종사자
전체,3664832,2276523,1388309,18528334,10639698,7888636,3456559,12907001,3732285,11641755,2298479,855815,3003350,5374374,383104,2432726,151427,1997925,84109,2517132,27115,1867736,12761,1985881,208273,5621333,2966,2352560
농업임업및어업,2655,2379,276,34202,25184,9018,2019,21610,8,24468,6725,3001,979,2154,690,4715,529,7065,363,10920,67,4625,25,3380,636,12592,2,1343
광업,1881,1679,202,15415,13450,1965,1700,10010,1974,12156,1183,102,1286,3112,235,1559,189,2573,145,4132,19,1285,3,382,181,5405,4,2372
제조업,382575,309601,72974,3825678,2826468,999210,360052,2372908,364644,3203250,240594,17190,245173,497537,71482,468513,32625,440666,22760,687288,6316,436546,3522,558070,22523,1452770,697,737058
전기가스수도하수,8686,7625,1061,148698,127773,20925,6815,75883,2811,138659,6368,860,3720,8813,1870,12329,1310,17828,1211,37629,401,27069,142,23197,1871,72815,32,21833
건설업,118767,100520,18247,1045603,905905,139698,111573,811606,73513,574770,376573,20747,72975,150645,25135,163757,12502,164394,5626,163575,1454,98045,836,134494,7194,233997,239,170693
도매및소매업,957058,562558,394500,2885740,1558072,1327668,899828,2212634,1068863,1348754,307473,160650,849228,1530829,72693,452588,22934,299517,9360,263816,1726,115853,989,155363,57230,673106,128,67774
운수및창고업,371628,350650,20978,1015915,898498,117417,361440,743048,351557,537019,38844,88495,351581,382864,8350,53957,4856,64987,3759,114766,1669,115888,1277,199220,10188,272867,136,84233
숙박및음식점업,685669,249025,436644,1986673,711307,1275366,672490,1794366,960084,459913,542163,24513,605700,1259000,63667,390137,12224,154091,3214,92365,668,44295,157,24011,13179,192307,39,22774
정보통신업,35290,29722,5568,509785,356728,153057,31332,318783,12944,457600,30196,9045,19596,41587,7056,45664,3958,52661,2810,85970,1043,72658,663,104898,3958,191002,164,106347
금융및보험업,41609,35909,5700,707246,326765,380481,10154,70423,5799,433276,18249,249922,11623,26550,10270,71568,10731,141168,6991,217378,1456,92584,391,60164,31455,636823,147,97834
부동산업시설관리지원임대,179587,124194,55393,1404687,801789,602898,163108,889710,131315,1030095,181422,61855,139885,241855,19956,128232,9825,129972,6093,181765,1818,125146,1416,236417,16479,514977,594,361300
전문과학및기술서비스업,87868,76517,11351,865241,599420,265821,75469,427448,58384,767075,33500,6282,56126,122049,18556,116975,7035,92131,3977,118192,1231,84989,656,105097,12399,437793,287,225808
교육서비스업,173740,80399,93341,1498539,567376,931163,163902,1079221,152370,1015304,224317,106548,131248,233110,18666,118846,9032,121820,7306,226125,6101,431760,1142,146594,9838,419318,245,220284
보건업및사회복지서비스업,127925,70023,57902,1367805,285551,1082254,120176,1012490,105450,1117515,117988,26852,61759,186290,40843,255350,15247,198688,6466,195429,2313,160308,1086,166118,7749,355315,211,205622
오락문화및운동관련서비스업,104222,59699,44523,359129,191716,167413,102327,298682,119286,124791,87370,27682,94015,164673,6395,39834,1985,26003,1139,34149,337,23663,321,49419,1895,60447,30,21388
기타공공수리및개인서비스업,385672,216023,169649,857978,443696,414282,374174,768179,323283,397110,85514,52071,358456,523306,17240,108702,6445,84361,2889,83633,496,33022,135,19057,11498,89799,11,5897
