산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,다사업사업체,다사업체종사자,300명이상사업체,300명이상종사자
전체,4090651,2515274,1575377,21500210,12121257,9378953,3831036,14869869,4007864,13701689,2823655,967002,3272417,5875121,489710,3146787,183405,2411717,97210,2888928,30193,2061931,14171,2212182,259615,6630341,3545,2903544
농업임업및어업,4261,3640,621,42324,30382,11942,3447,27628,0,32453,6922,2949,2115,4720,1099,7224,556,7557,381,11422,75,5291,32,4477,814,14696,3,1633
광업,1916,1706,210,14998,12927,2071,1717,9379,1864,12186,837,111,1336,2777,255,1781,137,1986,161,4754,20,1354,3,373,199,5619,4,1973
제조업,437024,345690,91334,4105871,3048514,1057357,409504,2583550,389554,3430196,264291,21830,276695,578742,91203,620610,33700,455332,24585,733081,6823,467925,3343,529992,27520,1522321,675,720189
전기가스수도하수,11315,9421,1894,172972,145280,27692,9061,85989,3988,162172,6334,478,5609,12285,2278,14926,1411,19224,1357,43106,453,30623,170,27268,2254,86983,37,25540
건설업,142840,115489,27351,1481673,1273953,207720,135714,1187526,91623,664479,668339,57232,78121,179504,33435,219613,19689,257551,8149,235165,1859,123276,1210,195085,7126,294147,377,271479
도매및소매업,1027109,601495,425614,3250867,1719231,1531636,954514,2444287,1081512,1664431,343463,161461,893541,1624686,93259,581971,26692,346971,10394,296282,2053,138196,1008,154947,72595,806580,162,107814
운수및창고업,400282,373243,27039,1145752,991823,153929,388651,803544,374654,597978,59505,113615,375916,407047,10048,65839,6280,83883,4648,141780,1839,124508,1390,209905,11631,342208,161,112790
숙박및음식점업,766315,302073,464242,2326716,857592,1469124,742625,2051900,1051690,678868,577111,19047,656577,1372738,87580,540034,17634,220541,3749,107588,581,37525,148,23663,23690,274816,46,24627
정보통신업,43888,36056,7832,599006,412243,186763,39141,368204,15052,543782,29916,10256,25787,52253,8259,53431,4653,61655,3171,95556,1084,75110,748,123062,4747,230802,186,137939
금융및보험업,43568,36008,7560,711494,313206,398288,12257,77655,6169,450329,16929,238067,13843,30346,10824,74410,10505,138461,6442,196676,1347,86252,447,68336,31311,633839,160,117013
부동산업시설관리지원임대,230694,151667,79027,1708577,957217,751360,210614,969394,165516,1281834,193260,67967,184245,308470,24635,158112,11168,147254,6411,189043,1942,133056,1572,264682,20080,739183,721,507960
전문과학및기술서비스업,112302,94618,17684,1075234,723633,351601,96301,528511,69830,949151,47810,8443,72764,152307,23399,149854,8998,117263,4637,136485,1337,90806,822,132681,16001,546723,345,295838
교육서비스업,189800,82558,107242,1630311,595618,1034693,178266,1187038,164451,1106913,237969,120978,139456,251217,23826,151812,10320,138673,8515,263651,6256,437771,1142,146028,11534,443273,285,241159
보건업및사회복지서비스업,147452,79586,67866,1902052,361606,1540446,136721,1404549,113726,1527673,197393,63260,58938,171115,50392,322442,22252,292768,10323,310808,3623,248992,1592,250915,10731,497503,332,305012
오락문화및운동관련서비스업,121639,68940,52699,442046,228077,213969,118120,361232,133631,170625,100242,37548,106109,184549,10480,65866,2823,36846,1386,40945,430,30144,370,56113,3519,80814,41,27583
기타공공수리및개인서비스업,410246,213084,197162,890317,449955,440362,394383,779483,344604,428619,73334,43760,381365,542365,18738,118862,6587,85752,2901,82586,471,31102,174,24655,15863,110834,10,4995
