산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,다사업사업체,다사업체종사자,300명이상사업체,300명이상종사자
전체,3281886,2060635,1221251,16160266,9426361,6733905,3117918,11559656,3522625,9698921,2110593,828127,2721867,4877466,317568,2021569,131893,1742717,72934,2182868,24001,1638299,11074,1735260,163968,4600610,2549,1962087
농업임업및어업,2336,2175,161,30238,23142,7096,1789,19070,55,20296,5983,3904,871,2003,568,3792,504,6695,300,8993,71,4923,21,2922,547,11168,1,910
광업,1817,1674,143,16571,14534,2037,1620,9665,1871,13332,1309,59,1185,2756,254,1708,212,2973,139,4032,22,1472,1,0,197,6906,4,3630
제조업,328565,270534,58031,3262933,2397865,865068,309549,1997345,336458,2639355,274359,12761,211366,431441,59163,392259,30167,404545,19037,571604,5249,359557,3009,472509,19016,1265588,574,631018
전기가스수도하수,6593,5937,656,134599,116656,17943,5028,68546,1967,123767,7958,907,2359,6046,1580,10582,1060,14659,1044,32532,376,25878,144,23720,1565,66053,30,21182
건설업,97391,85693,11698,902802,787197,115605,89132,679755,65608,506706,313743,16745,56321,114228,20642,136261,11874,158303,6236,182229,1384,91994,763,123214,8259,223047,171,96573
도매및소매업,858619,516649,341970,2618346,1428754,1189592,812800,2000987,1027863,1106565,309354,174564,765578,1389597,62517,389446,19594,255294,8104,228925,1691,114258,959,149573,45819,617359,176,91253
운수및창고업,343986,328725,15261,976105,878538,97567,334443,712811,328443,551228,44157,52277,325611,354559,7530,48871,4441,59687,3330,101457,1604,111914,1311,210033,9543,263294,159,89584
숙박및음식점업,628624,215104,413520,1755201,590547,1164654,621104,1611919,901318,363774,455516,34593,565444,1174874,50744,307623,9188,116645,2571,74815,518,34699,123,19381,7520,143282,36,27164
정보통신업,24306,20896,3410,432928,309066,123862,20305,260557,8628,385045,31841,7414,11226,27474,5629,36274,3225,43129,2547,77123,948,65408,590,93419,4001,172371,141,90101
금융및보험업,38408,34086,4322,692071,328390,363681,9774,76831,5755,411016,19321,255979,10034,23447,9215,64526,10329,136554,6685,205782,1596,102232,405,63266,28634,615240,144,96264
부동산업시설관리지원임대,160314,114438,45876,1156852,683843,473009,146805,785849,127937,798577,163735,66603,126871,216428,16601,107265,8579,113590,5170,153183,1501,103047,1133,188481,13509,371003,459,274858
전문과학및기술서비스업,67721,60525,7196,732048,513475,218573,58348,382444,49577,638603,36685,7183,41064,96054,15564,97684,5798,76232,3292,98034,1085,74739,673,111670,9373,349604,245,177635
교육서비스업,162601,75163,87438,1363740,526394,837346,156406,1154032,148713,899907,213532,101588,121770,219092,17953,114098,8938,120944,7153,225573,5697,394801,886,115058,6195,209708,204,174174
보건업및사회복지서비스업,99899,59612,40287,981216,230032,751184,97447,807622,82696,801711,74701,22108,52678,159431,29899,187665,10821,140039,4169,126138,1525,103953,632,96207,2452,173594,175,167783
오락문화및운동관련서비스업,101955,60347,41608,321267,178006,143261,100775,273183,123691,98365,76086,23125,94729,166806,4400,27105,1362,18022,852,25691,291,20131,298,47582,1180,48084,23,15930
기타공공수리및개인서비스업,358751,209077,149674,783349,419922,363427,352593,719040,312045,340674,82313,48317,334760,493230,15309,96410,5801,75406,2305,66757,443,29293,126,18016,6158,64309,7,4237
