산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,다사업사업체,다사업체종사자,300명이상사업체,300명이상종사자
전체,3343590,2096212,1247378,16984079,9929056,7055023,3168583,11777293,3550262,10133472,2434428,865917,2802665,5071518,281676,1830521,139013,1844483,79405,2378043,26109,1791437,11925,1854227,175007,5206786,2797,2213850
농업임업및어업,2253,2080,173,29433,21862,7571,1674,17613,23,18832,5852,4726,869,2078,547,3679,460,6095,282,8485,71,4895,23,3327,579,11820,1,874
광업,1752,1594,158,15981,14064,1917,1590,10105,1931,12621,1334,95,1193,2970,179,1215,205,2889,150,4369,17,1134,4,569,162,5876,4,2835
제조업,336908,276281,60627,3422439,2515572,906867,318438,2106343,341097,2781747,287274,12321,221869,465940,52725,356913,31996,432570,20778,622405,5805,396916,3142,493707,18470,1316096,593,653988
전기가스수도하수,6947,6244,703,135694,117885,17809,5306,66734,2117,125658,7477,442,2648,6665,1506,10089,1129,15431,1117,34474,376,25979,139,22133,1641,68960,32,20923
건설업,98859,85797,13062,1176826,1041009,135817,93335,896471,66466,539971,549494,20895,57576,117049,17396,116136,12163,163523,8125,242258,2172,146646,1089,174235,5524,280355,338,216979
도매및소매업,873632,523085,350547,2618185,1420547,1197638,827814,2023136,1025370,1115090,303343,174382,786570,1435821,55478,352827,20379,266350,8440,238322,1733,118181,891,133475,45818,595049,141,73209
운수및창고업,347289,333360,13929,989773,897880,91893,337995,705525,331551,529767,42217,86238,329489,359528,6473,42861,4667,63444,3711,114120,1525,106086,1267,202978,9294,284248,157,100756
숙박및음식점업,636278,222797,413481,1760917,602962,1157955,628002,1613967,904678,369813,456966,29460,583121,1221273,39709,249395,9821,125278,2857,82556,613,40388,125,20680,8276,146950,32,21347
정보통신업,26299,22546,3753,464158,331788,132370,22583,273192,9827,409815,35730,8786,12826,30319,5595,36408,3503,46769,2658,81465,951,65604,606,95817,3716,190966,160,107776
금융및보험업,39485,34965,4520,714769,327071,387698,9133,66528,5871,428044,21954,258900,10564,24381,9525,66656,10591,139656,6703,208242,1568,100703,378,57672,30352,648241,156,117459
부동산업시설관리지원임대,162274,114602,47672,1247898,721800,526098,147950,783342,129169,867807,181800,69122,128549,221250,16077,105003,8906,118230,5283,157632,1701,116143,1269,210272,14324,464556,489,319368
전문과학및기술서비스업,70372,62506,7866,769087,541100,227987,60470,370349,50546,659451,48297,10793,43918,101562,14636,93208,6244,82941,3507,105092,1115,76035,702,116308,9902,398738,250,193941
교육서비스업,166527,77766,88761,1430894,538063,892831,157259,1047701,152588,950519,232152,95635,126210,227294,16441,105599,9240,124844,7423,229076,5887,416926,1104,144160,9268,383193,222,182995
보건업및사회복지서비스업,108081,62621,45460,1097838,242542,855296,102504,821024,89653,889204,98178,20803,58855,182126,29082,185949,12442,161089,4960,149702,1779,122917,784,117995,5577,276814,179,178060
오락문화및운동관련서비스업,101745,59841,41904,319954,176476,143478,100389,269427,123778,101140,75420,19616,95286,168175,3532,22488,1400,18567,920,27731,301,20608,271,41850,1356,50527,35,20535
기타공공수리및개인서비스업,364889,210127,154762,790233,418435,371798,354141,705836,315597,333993,86940,53703,343122,505087,12775,82095,5867,76807,2491,72114,495,32276,131,19049,10748,84397,8,2805
