산업분류,사업체수,남대표,여대표
전체,3264776,2062365,1202411
농업임업및어업,2152,2042,110
광업,1723,1605,118
제조업,327982,271510,56472
전기가스증기및공기조절공급업,860,845,15
수도하수및폐기물처리원료재생업,5495,4926,569
건설업,97198,86279,10919
도매및소매업,856901,517863,339038
운수및창고업,340550,326304,14246
숙박및음식점업,624605,210674,413931
정보통신업,23787,20494,3293
금융및보험업,37576,33566,4010
부동산업,112817,81276,31541
전문과학및기술서비스업,66517,59791,6726
사업시설관리사업지원및임대서비스업,45650,33076,12574
공공행정국방및사회보장행정,11755,11403,352
교육서비스업,160277,74509,85768
보건업및사회복지서비스업,94456,57226,37230
예술스포츠및여가관련서비스업,100134,59646,40488
협회및단체수리및기타개인서비스업,354341,209330,145011
