산업분류,합,남,여
전체,3226565,2056523,1170042
농업임업및어업,2141,2043,98
광업,1734,1624,110
제조업,335288,279951,55337
전기가스증기및공기조절공급업,894,881,13
수도하수및폐기물처리원료재생업,5216,4711,505
건설업,94297,84934,9363
도매및소매업,860547,525687,334860
운수및창고업,340013,327194,12819
숙박및음식점업,624450,206554,417896
정보통신업,23826,20554,3272
금융및보험업,35572,32157,3415
부동산업,106075,79054,27021
전문과학및기술서비스업,62506,56521,5985
사업시설관리사업지원및임대서비스업,45740,32659,13081
공공행정국방및사회보장행정,12266,11988,278
교육서비스업,150024,71240,78784
보건업및사회복지서비스업,83323,52769,30554
예술스포츠및여가관련서비스업,97527,58355,39172
협회및단체수리및기타개인서비스업,345126,207647,137479
