산업분류,사업체수,남대표,여대표
전체,3874156,2420102,1454054
농업임업및어업,3289,2846,443
광업,2006,1788,218
제조업,428643,343129,85514
전기가스증기및공기조절공급업,1393,1283,110
수도하수및폐기물처리원료재생업,8525,7210,1315
건설업,133797,110314,23483
도매및소매업,1015117,600360,414757
운수및창고업,379388,355532,23856
숙박및음식점업,710248,268831,441417
정보통신업,42425,35398,7027
금융및보험업,42192,36240,5952
부동산업,131079,86493,44586
전문과학및기술서비스업,102866,88173,14693
사업시설관리사업지원및임대서비스업,66668,48164,18504
공공행정국방및사회보장행정,12364,11589,775
교육서비스업,175800,80284,95516
보건업및사회복지서비스업,132553,73361,59192
예술스포츠및여가관련서비스업,101055,57332,43723
협회및단체수리및기타개인서비스업,384748,211775,172973
