산업분류,합,남,여
전체,3812800,2376935,1435865
농업임업및어업,3159,2770,389
광업,2002,1785,217
제조업,409232,328687,80545
전기가스증기및공기조절공급업,1302,1220,82
수도하수및폐기물처리원료재생업,8366,7153,1213
건설업,129667,108107,21560
도매및소매업,993971,587342,406629
운수및창고업,379044,355250,23794
숙박및음식점업,702596,260529,442067
정보통신업,40304,33722,6582
금융및보험업,41969,35960,6009
부동산업,127228,84967,42261
전문과학및기술서비스업,96865,83538,13327
사업시설관리사업지원및임대서비스업,65603,47508,18095
공공행정국방및사회보장행정,12057,11383,674
교육서비스업,175606,80875,94731
보건업및사회복지서비스업,134208,72367,61841
예술스포츠및여가관련서비스업,103977,59401,44576
협회및단체수리및기타개인서비스업,385644,214371,171273
