산업분류,사업체 전체,종사자 전체,단독사업체 사업체,단독사업체 종사자,"본사,본점 등 사업체","본사,본점 등 종사자","공장,지사(점),영업소 사업체","공장,지사(점),영업소 종사자"
전체,3874156,20889239,3649614,14756978,45673,2513952,178869,3618309
농업임업및어업,3289,39490,2590,25560,160,4689,539,9241
광업,2006,15663,1826,10394,45,813,135,4456
제조업,428643,4102259,405205,2610251,9634,682452,13804,809556
전기가스증기및공기조절공급업,1393,57364,550,4095,64,10646,779,42623
수도하수및폐기물처리원료재생업,8525,101983,7323,77401,296,8470,906,16112
건설업,133797,1317337,127609,1051924,2997,184322,3191,81091
도매및소매업,1015117,3129601,954958,2399238,10570,246987,49589,483376
운수및창고업,379388,1096051,368536,783371,2067,143714,8785,168966
숙박및음식점업,710248,2114297,691552,1867874,1199,29174,17497,217249
정보통신업,42425,562946,38240,360377,1230,121156,2955,81413
금융및보험업,42192,745257,9943,69448,3293,180005,28956,495804
부동산업,131079,464340,124175,359714,1037,41374,5867,63252
전문과학및기술서비스업,102866,998123,89032,503285,5098,265284,8736,229554
사업시설관리사업지원및임대서비스업,66668,1127653,55418,639495,2797,263062,8453,225096
공공행정국방및사회보장행정,12364,687969,12109,676942,40,6527,215,4500
교육서비스업,175800,1563848,165815,1122048,1632,158882,8353,282918
보건업및사회복지서비스업,132553,1503360,123397,1099174,1632,113055,7524,291131
예술스포츠및여가관련서비스업,101055,366766,98615,301892,400,20691,2040,44183
협회및단체수리및기타개인서비스업,384748,894932,372721,794495,1482,32649,10545,67788
