산업분류,사업체 전체,종사자 전체,단독사업체 사업체,단독사업체 종사자,"본사,본점 등 사업체","본사,본점 등 종사자","공장,지사(점),영업소 사업체","공장,지사(점),영업소 종사자"
전체,3226565,15435729,3087451,11445152,27323,1610100,111791,2380477
농업임업및어업,2141,30305,1634,19242,55,2399,452,8664
광업,1734,16774,1562,9912,43,1073,129,5789
제조업,335288,3231791,317175,2001148,7734,575625,10379,655018
전기가스증기및공기조절공급업,894,50402,258,5864,49,8588,587,35950
수도하수및폐기물처리원료재생업,5216,75749,4547,61014,156,5112,513,9623
건설업,94297,837870,88402,657616,2253,113327,3642,66927
도매및소매업,860547,2500253,823142,1971985,5967,154323,31438,373945
운수및창고업,340013,869653,331272,652110,1710,86507,7031,131036
숙박및음식점업,624450,1671710,618644,1560294,349,21238,5457,90178
정보통신업,23826,401805,20458,239054,857,86084,2511,76667
금융및보험업,35572,621959,10125,72103,2482,124871,22965,424985
부동산업,106075,388832,101168,312716,636,23183,4271,52933
전문과학및기술서비스업,62506,569071,56013,328389,2127,135092,4366,105590
사업시설관리사업지원및임대서비스업,45740,609741,37640,335589,1705,154068,6395,120084
공공행정국방및사회보장행정,12266,543025,12194,539344,12,2693,60,988
교육서비스업,150024,1249856,144775,1063047,430,69100,4819,117709
보건업및사회복지서비스업,83323,734896,81839,671754,184,20407,1300,42735
예술스포츠및여가관련서비스업,97527,289452,96715,255376,116,11836,696,22240
협회및단체수리및기타개인서비스업,345126,742585,339888,688595,458,14574,4780,39416
