산업분류,사업체수,종사자수,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자
전체,3950169,21259126,3714536,15051120,47107,2581144,188526,3626862
농업임업및어업,3627,39650,2887,25146,166,4682,574,9822
광업,2012,15861,1831,10484,51,981,130,4396
제조업,430948,4097338,406634,2612292,10094,685066,14220,799980
전기가스증기및공기조절공급업,1584,58688,741,4357,67,10842,776,43489
수도하수및폐기물처리원료재생업,8521,102578,7283,76941,297,8768,941,16869
건설업,137220,1392554,131174,1140183,2840,188139,3206,64232
도매및소매업,1017340,3141900,950548,2390012,11077,256071,55715,495817
운수및창고업,385968,1111060,374977,807631,1995,129688,8996,173741
숙박및음식점업,729175,2162823,708981,1909896,1308,29475,18886,223452
정보통신업,42539,567284,38361,360488,1274,129278,2904,77518
금융및보험업,42809,730963,10867,75377,3281,169203,28661,486383
부동산업,143461,501974,136214,390706,1154,46469,6093,64799
전문과학및기술서비스업,103223,1002371,89032,506854,5263,264267,8928,231250
사업시설관리사업지원및임대서비스업,67237,1148968,55804,603892,2835,326041,8598,219035
공공행정국방및사회보장행정,12454,691270,12196,679679,42,7030,216,4561
교육서비스업,180595,1559558,170054,1121239,1657,154086,8884,284233
보건업및사회복지서비스업,141372,1674556,131734,1241660,1730,117847,7908,315049
예술스포츠및여가관련서비스업,110230,394913,107531,326750,432,22146,2267,46017
협회및단체수리및기타개인서비스업,389854,864817,377687,767533,1544,31065,10623,66219
