산업분류,사업체수,종사자수,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자
전체,3812800,19899697,3588232,14066029,47475,2421522,177093,3412146
농업임업및어업,3159,36034,2492,23319,159,3881,508,8834
광업,2002,15642,1815,10406,56,1036,131,4200
제조업,409232,3981938,384458,2494154,10365,687453,14409,800331
전기가스증기및공기조절공급업,1302,55388,490,3779,63,10171,749,41438
수도하수및폐기물처리원료재생업,8366,99187,7139,74569,331,8995,896,15623
건설업,129667,1103794,122138,861159,3573,159514,3956,83121
도매및소매업,993971,3007745,931028,2307780,10809,226991,52134,472974
운수및창고업,379044,1049058,368226,764776,2194,124601,8624,159681
숙박및음식점업,702596,2067166,685799,1842849,1123,29381,15674,194936
정보통신업,40304,528102,36249,336352,1335,122587,2720,69163
금융및보험업,41969,705824,11103,76781,3393,166304,27473,462739
부동산업,127228,445495,120822,352694,1080,36276,5326,56525
전문과학및기술서비스업,96865,930441,83395,455994,4997,256665,8473,217782
사업시설관리사업지원및임대서비스업,65603,1025145,54629,575553,2876,259111,8098,190481
공공행정국방및사회보장행정,12057,648966,11827,639375,37,5889,193,3702
교육서비스업,175606,1513769,165329,1094246,1602,162642,8675,256881
보건업및사회복지서비스업,134208,1466397,125461,1086188,1662,111907,7085,268302
예술스포츠및여가관련서비스업,103977,362955,101800,300969,377,20714,1800,41272
협회및단체수리및기타개인서비스업,385644,856651,374032,765086,1443,27404,10169,64161
