산업분류,사업체 전체,종사자 전체,단독사업체 사업체,단독사업체 종사자,"본사,본점 등 사업체","본사,본점 등 종사자","공장,지사(점),영업소 사업체","공장,지사(점),영업소 종사자"
전체,4103172,22234776,3843283,15590739,52687,2759283,207202,3884754
농업임업및어업,4261,42324,3447,27628,190,4069,624,10627
광업,1916,14998,1717,9379,58,1862,141,3757
제조업,437024,4105871,409504,2583550,11338,680784,16182,841537
전기가스증기및공기조절공급업,2343,64066,1471,6704,74,11302,798,46060
수도하수및폐기물처리원료재생업,8972,108906,7590,79285,326,9851,1056,19770
건설업,142840,1481673,135714,1187526,3279,212505,3847,81642
도매및소매업,1027109,3250867,954514,2444287,12204,283280,60391,523300
운수및창고업,400282,1145752,388651,803544,2133,139515,9498,202693
숙박및음식점업,766315,2326716,742625,2051900,1766,32771,21924,242045
정보통신업,43888,599006,39141,368204,1524,142614,3223,88188
금융및보험업,43568,711494,12257,77655,3305,174615,28006,459224
부동산업,160152,520591,151708,400513,1397,46832,7047,73246
전문과학및기술서비스업,112302,1075234,96301,528511,5975,287588,10026,259135
사업시설관리사업지원및임대서비스업,70542,1187986,58906,568881,2952,385952,8684,233153
공공행정국방및사회보장행정,12521,734566,12247,720870,41,8140,233,5556
교육서비스업,189800,1630311,178266,1187038,1903,154734,9631,288539
보건업및사회복지서비스업,147452,1902052,136721,1404549,1883,124333,8848,373170
예술스포츠및여가관련서비스업,121639,442046,118120,361232,593,25749,2926,55065
협회및단체수리및기타개인서비스업,410246,890317,394383,779483,1746,32787,14117,78047
