산업분류,사업체 전체,종사자 전체,단독사업체 사업체,단독사업체 종사자,"본사,본점 등 사업체","본사,본점 등 종사자","공장,지사(점),영업소 사업체","공장,지사(점),영업소 종사자"
전체,3602461,18569256,3403515,13210994,42244,2231647,156702,3126615
농업임업및어업,2388,30836,1794,18566,112,3410,482,8860
광업,1836,15473,1661,10179,47,1723,128,3571
제조업,371906,3718188,350168,2289152,9310,667126,12428,761910
전기가스증기및공기조절공급업,1067,50506,300,2439,60,10070,707,37997
수도하수및폐기물처리원료재생업,7089,89315,6053,68595,264,7016,772,13704
건설업,111181,1059721,105203,832426,2845,164318,3133,62977
도매및소매업,939357,2782007,885570,2158969,9473,199523,44314,423515
운수및창고업,364349,1012741,354510,745324,2030,119826,7809,147591
숙박및음식점업,673064,1909081,661380,1734672,860,27195,10824,147214
정보통신업,33779,493205,29760,304981,1274,113890,2745,74334
금융및보험업,41799,724771,10234,69939,3484,161694,28081,493138
부동산업,119049,412396,113211,334109,1033,30845,4805,47442
전문과학및기술서비스업,84260,814647,72867,416300,4063,231910,7330,166437
사업시설관리사업지원및임대서비스업,56639,897401,46526,538876,2696,196626,7417,161899
공공행정국방및사회보장행정,11939,637871,11760,629212,33,5435,146,3224
교육서비스업,172289,1475660,162548,1072877,1514,154594,8227,248189
보건업및사회복지서비스업,122764,1261722,115509,941213,1431,92806,5824,227703
예술스포츠및여가관련서비스업,104597,343790,102891,288206,313,18729,1393,36855
협회및단체수리및기타개인서비스업,383109,839925,371570,754959,1402,24911,10137,60055
