산업분류,사업체 전체,종사자 전체,단독사업체 사업체,단독사업체 종사자,"본사,본점 등 사업체","본사,본점 등 종사자","공장,지사(점),영업소 사업체","공장,지사(점),영업소 종사자"
전체,4325195,21583421,4028048,14690304,73928,3068912,223219,3824205
농업임업및어업,5948,47481,4842,29678,333,5911,773,11892
광업,1654,13838,1434,8074,84,1695,136,4069
제조업,453257,3984905,421732,2394910,14492,742839,17033,847156
전기가스증기및공기조절공급업,4449,69138,3432,7919,155,13157,862,48062
수도하수및폐기물처리원료재생업,9627,115110,7919,79595,518,13192,1190,22323
건설업,158401,1431792,148895,1039476,5095,298764,4411,93552
도매및소매업,1064434,2962630,980195,2184443,18036,325393,66203,452794
운수및창고업,420889,1091939,407854,738348,2694,154142,10341,199449
숙박및음식점업,829555,2023871,800184,1778616,3473,36824,25898,208431
정보통신업,49435,620982,43460,364455,2489,165947,3486,90580
금융및보험업,43242,680970,13572,69518,3473,197068,26197,414384
부동산업,177046,510503,162944,377040,4009,58169,10093,75294
전문과학및기술서비스업,129778,1159853,110393,551000,7756,335689,11629,273164
사업시설관리사업지원및임대서비스업,77568,1108666,65320,545503,3473,353724,8775,209439
공공행정국방및사회보장행정,12385,819440,12076,803785,47,10122,262,5533
교육서비스업,191529,1579773,179229,1138907,2348,144007,9952,296859
보건업및사회복지서비스업,149351,2156232,137352,1564042,2382,145996,9617,446194
예술스포츠및여가관련서비스업,123249,380824,118690,300855,984,29496,3575,50473
협회및단체수리및기타개인서비스업,423398,825474,408525,714140,2087,36777,12786,74557
