산업분류,사업체 전체,종사자 전체,단독사업체 사업체,단독사업체 종사자,"본사,본점 등 사업체","본사,본점 등 종사자","공장,지사(점),영업소 사업체","공장,지사(점),영업소 종사자"
전체,4176549,22723272,3899713,15804807,58413,2812683,218423,4105782
농업임업및어업,4522,43920,3570,26524,241,5245,711,12151
광업,1776,14887,1553,8935,74,1990,149,3962
제조업,440766,4123817,409579,2535170,12911,717265,18276,871382
전기가스증기및공기조절공급업,3119,67526,2211,6964,94,12011,814,48551
수도하수및폐기물처리원료재생업,9423,114085,7811,80667,411,11018,1201,22400
건설업,146293,1504466,138612,1187288,3616,220716,4065,96462
도매및소매업,1028323,3289652,953382,2467485,13400,297329,61541,524838
운수및창고업,409288,1155965,396942,800646,2176,136271,10170,219048
숙박및음식점업,785706,2384828,760302,2106763,2155,34344,23249,243721
정보통신업,45303,606964,40102,359020,1761,148570,3440,99374
금융및보험업,43555,715399,12800,78346,3327,181755,27428,455298
부동산업,168481,537841,156704,401527,2038,46742,9739,89572
전문과학및기술서비스업,118129,1132049,100855,543944,6397,311777,10877,276328
사업시설관리사업지원및임대서비스업,73282,1192036,61263,589551,3078,358056,8941,244429
공공행정국방및사회보장행정,12570,768733,12255,753775,47,9181,268,5777
교육서비스업,193790,1672443,181401,1212670,2128,131787,10261,327986
보건업및사회복지서비스업,150659,2033034,138805,1482838,2123,127610,9731,422586
예술스포츠및여가관련서비스업,124621,458555,120449,370509,693,29163,3479,58883
협회및단체수리및기타개인서비스업,416943,907072,401117,792185,1743,31853,14083,83034
