산업분류,사업체수,종사자수,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자
전체,3293551,16817946,3129514,12214689,35764,1887690,128273,2715567
농업임업및어업,2336,30238,1789,19070,76,2377,471,8791
광업,1817,16571,1620,9665,67,1272,130,5634
제조업,328565,3262933,309549,1997345,8299,605892,10717,659696
전기가스증기및공기조절공급업,910,51727,252,5115,64,9358,594,37254
수도하수및폐기물처리원료재생업,5683,82872,4776,63431,269,7406,638,12035
건설업,97391,902802,89132,679755,4251,148657,4008,74390
도매및소매업,858619,2618346,812800,2000987,7984,198390,37835,418969
운수및창고업,343986,976105,334443,712811,1880,112275,7663,151019
숙박및음식점업,628624,1755201,621104,1611919,441,31188,7079,112094
정보통신업,24306,432928,20305,260557,1399,104905,2602,67466
금융및보험업,38408,692071,9774,76831,2684,149229,25950,466011
부동산업,114083,411358,109750,345575,972,23758,3361,42025
전문과학및기술서비스업,67721,732048,58348,382444,3582,196255,5791,153349
사업시설관리사업지원및임대서비스업,46231,745494,37055,440274,2217,152513,6959,152707
공공행정국방및사회보장행정,11665,657680,11596,655033,10,1368,59,1279
교육서비스업,162601,1363740,156406,1154032,572,72930,5623,136778
보건업및사회복지서비스업,99899,981216,97447,807622,245,38206,2207,135388
예술스포츠및여가관련서비스업,101955,321267,100775,273183,199,15355,981,32729
협회및단체수리및기타개인서비스업,358751,783349,352593,719040,553,16356,5605,47953
