산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,41.5,6.4,21.7,182.0,169.0,13.0,2892.0,2686.0,207.0,5508.0,10221341
농업임업및어업,45.2,8.3,22.4,181.5,175.4,6.1,2746.0,2659.0,87.0,6437.0,24086
광업,49.8,8.3,23.0,194.0,175.3,18.7,3395.0,3116.0,279.0,5286.0,12094
제조업,40.7,7.0,22.2,193.3,169.7,23.7,2984.0,2618.0,366.0,7544.0,3102942
전기가스수도하수,44.5,10.4,22.0,186.3,172.9,13.5,3622.6,3312.3,309.9,9855.2,125516
건설업,43.5,5.3,21.9,180.2,171.5,8.6,3050.0,2890.0,160.0,2876.0,543896
도매및소매업,39.9,5.5,21.9,180.8,173.0,7.8,2722.0,2608.0,114.0,4250.0,1026442
운수및창고업,47.6,8.1,21.9,184.3,167.3,17.0,2679.0,2393.0,286.0,4745.0,584672
숙박및음식점업,40.3,3.0,22.5,189.1,177.7,11.4,1884.0,1746.0,139.0,1039.0,306638
정보통신업,37.0,6.4,21.0,171.4,166.4,5.0,3494.0,3398.0,95.0,5488.0,432246
금융및보험업,39.0,11.0,20.9,171.1,166.2,5.0,4092.0,3974.0,118.0,16622.0,410262
부동산업시설관리지원임대,44.8,4.8,21.0,181.5,172.1,9.4,2388.1,2244.4,143.7,2566.1,1057412
전문과학및기술서비스업,39.2,7.0,21.1,173.0,166.7,6.3,3659.0,3557.0,102.0,8030.0,767225
교육서비스업,42.3,7.9,20.7,164.8,160.3,4.5,3200.0,3138.0,62.0,2587.0,431796
보건업및사회복지서비스업,40.9,4.8,21.7,173.3,165.9,7.4,2354.0,2229.0,125.0,2278.0,1034123
오락문화및운동관련서비스업,40.8,5.4,21.9,178.7,168.8,9.9,2451.0,2284.0,167.0,2062.0,89567
기타공공수리및개인서비스업,44.8,4.9,22.0,167.1,160.7,6.4,2158.0,2066.0,92.0,2526.0,272424
