산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,38.5,6.2,22.8,194.8,180.4,14.3,2270.0,2115.0,156.0,5281.0,7377241
농업임업및어업,42.8,8.2,23.3,186.1,181.6,4.5,2332.0,2290.0,42.0,5894.0,15375
광업,45.7,8.0,23.3,194.8,177.4,17.5,2472.0,2298.0,174.0,5141.0,13664
제조업,38.0,6.6,23.2,202.7,178.1,24.5,2163.0,1908.0,255.0,6099.0,2470480
전기가스수도하수,42.0,9.8,22.9,194.3,178.6,15.7,2855.1,2616.5,238.5,8974.5,101040
건설업,40.3,4.9,23.1,189.8,183.3,6.5,2289.0,2210.0,79.0,3170.0,431426
도매및소매업,36.6,5.4,23.1,192.2,185.5,6.7,2216.0,2151.0,65.0,4421.0,687241
운수및창고업,44.6,6.8,22.4,201.0,177.6,23.3,1958.0,1690.0,268.0,4396.0,474604
숙박및음식점업,37.5,3.3,23.8,206.2,196.6,9.6,1564.0,1484.0,80.0,1646.0,164822
정보통신업,36.4,7.7,22.3,182.7,174.9,7.8,2942.0,2840.0,103.0,6445.0,313587
금융및보험업,36.7,10.3,21.9,178.5,173.8,4.6,3011.0,2922.0,90.0,13648.0,357090
부동산업시설관리지원임대,41.0,4.7,21.6,202.3,190.2,12.1,1933.6,1815.7,117.9,3653.9,689147
전문과학및기술서비스업,36.6,5.4,22.2,181.1,175.7,5.4,2944.0,2874.0,70.0,4892.0,507749
교육서비스업,40.5,7.6,22.2,177.6,172.6,5.0,2707.0,2655.0,53.0,3294.0,336544
보건업및사회복지서비스업,35.7,4.7,23.0,190.0,181.7,8.4,2009.0,1914.0,94.0,3960.0,567817
오락문화및운동관련서비스업,37.6,4.7,21.5,185.5,172.9,12.6,1957.0,1807.0,150.0,4027.0,60334
기타공공수리및개인서비스업,38.9,5.1,23.8,195.3,190.4,4.8,1904.0,1846.0,58.0,3013.0,186321
