산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,42.6,6.7,19.9,163.6,153.1,10.5,3259.0,3042.0,216.0,5537.0,10846459
농업임업및어업,45.0,8.2,20.7,165.1,161.0,4.0,2897.0,2832.0,65.0,6114.0,27137
광업,51.4,8.6,22.3,186.8,166.1,20.8,3783.0,3363.0,420.0,5725.0,11370
제조업,42.1,7.7,20.3,174.6,155.0,19.6,3342.0,2945.0,397.0,7509.0,3110600
전기가스수도하수,44.4,10.3,20.3,168.9,158.6,10.4,4027.3,3738.5,288.9,9080.2,141101
건설업,45.4,5.7,19.8,161.4,153.8,7.6,3402.0,3222.0,180.0,2841.0,549124
도매및소매업,41.1,5.7,20.2,162.8,156.9,5.9,3225.0,3116.0,109.0,4351.0,1114191
운수및창고업,48.4,8.2,20.5,163.1,150.1,13.0,2978.0,2703.0,275.0,4979.0,550070
숙박및음식점업,42.7,3.4,21.6,175.3,165.4,9.9,2260.0,2101.0,159.0,956.0,350695
정보통신업,37.3,6.6,19.1,156.9,150.9,6.0,4021.0,3863.0,158.0,5888.0,468790
금융및보험업,40.2,11.6,19.0,154.4,150.3,4.1,4418.0,4297.0,121.0,18101.0,407578
부동산업시설관리지원임대,45.0,5.0,19.3,161.9,154.5,7.3,2749.0,2611.5,137.5,2719.7,1161647
전문과학및기술서비스업,39.7,6.9,19.1,156.6,151.4,5.2,4102.0,3979.0,123.0,8409.0,826555
교육서비스업,43.6,8.6,18.3,143.7,139.9,3.7,3582.0,3522.0,61.0,3381.0,439718
보건업및사회복지서비스업,42.7,4.6,19.9,154.3,148.3,6.1,2680.0,2548.0,132.0,2235.0,1276640
오락문화및운동관련서비스업,41.7,5.6,20.4,164.6,155.7,8.9,2844.0,2650.0,195.0,2770.0,110651
기타공공수리및개인서비스업,45.1,5.4,20.5,158.0,152.2,5.8,2613.0,2502.0,111.0,2701.0,300592
