산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,41.6,6.3,21.6,180.8,168.0,12.7,3002.0,2779.0,222.0,5338.0,10353783
농업임업및어업,44.4,6.8,22.7,183.8,178.5,5.4,2638.0,2564.0,73.0,5286.0,24656
광업,50.6,8.0,23.3,198.3,174.7,23.6,3526.0,3129.0,397.0,5728.0,12318
제조업,41.1,7.1,22.2,193.3,169.0,24.4,3054.0,2648.0,406.0,7253.0,3116644
전기가스수도하수,44.3,10.3,22.0,185.1,171.5,13.6,3717.8,3395.4,322.4,9485.2,129469
건설업,43.8,5.1,21.8,177.8,170.9,7.0,3197.0,2997.0,200.0,2965.0,559063
도매및소매업,40.1,5.1,21.9,180.0,172.4,7.6,2924.0,2800.0,124.0,3909.0,1040702
운수및창고업,47.7,8.0,21.6,182.7,166.5,16.2,2857.0,2566.0,290.0,4968.0,552762
숙박및음식점업,39.5,2.7,21.9,182.6,172.0,10.6,1915.0,1776.0,139.0,1077.0,308955
정보통신업,36.5,6.2,20.9,171.1,164.8,6.3,3639.0,3497.0,142.0,6032.0,428506
금융및보험업,39.6,11.5,20.8,170.4,165.8,4.6,4072.0,3967.0,105.0,15903.0,395558
부동산업시설관리지원임대,43.9,4.6,21.1,179.9,171.3,8.6,2479.9,2338.8,141.1,2544.3,1105284
전문과학및기술서비스업,39.0,6.5,20.9,170.3,165.5,4.8,3805.0,3709.0,96.0,7788.0,765885
교육서비스업,42.8,8.3,20.6,163.2,159.6,3.6,3446.0,3389.0,58.0,3306.0,432521
보건업및사회복지서비스업,41.5,4.5,21.5,170.7,163.7,6.9,2476.0,2352.0,125.0,2105.0,1104692
오락문화및운동관련서비스업,40.7,5.2,21.8,180.1,168.2,11.9,2648.0,2427.0,221.0,2530.0,92560
기타공공수리및개인서비스업,44.6,5.2,21.9,170.6,164.2,6.4,2371.0,2270.0,101.0,2777.0,284208
