산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,41.1,6.2,22.4,184.2,175.2,9.0,2820.0,2607.0,212.0,5389.0,9643688
농업임업및어업,45.1,8.5,23.1,184.8,180.7,4.1,2669.0,2593.0,76.0,6210.0,22022
광업,49.2,8.3,23.5,197.3,180.9,16.4,3319.0,2971.0,348.0,5686.0,11981
제조업,40.4,6.9,22.9,194.1,175.4,18.7,2912.0,2537.0,375.0,7878.0,3070468
전기가스수도하수,44.2,10.3,22.3,181.9,174.9,7.0,3500.1,3197.7,302.3,7951.9,121732
건설업,43.2,5.1,22.6,183.1,177.0,6.1,2900.0,2760.0,140.0,2844.0,500305
도매및소매업,39.3,5.1,22.6,184.4,180.0,4.4,2659.0,2538.0,121.0,4144.0,949444
운수및창고업,46.9,7.7,22.2,183.4,172.4,10.9,2597.0,2313.0,283.0,4581.0,504296
숙박및음식점업,39.6,3.0,22.5,184.5,179.3,5.2,1800.0,1677.0,123.0,1228.0,262539
정보통신업,36.6,6.0,22.0,176.9,174.3,2.7,3415.0,3317.0,98.0,4667.0,407648
금융및보험업,38.7,10.9,21.8,174.9,174.0,0.9,3856.0,3746.0,109.0,14145.0,392942
부동산업시설관리지원임대,44.9,4.5,21.8,186.2,179.7,6.5,2270.4,2133.3,137.1,2538.1,962170
전문과학및기술서비스업,38.5,6.6,22.0,177.5,174.6,2.8,3650.0,3517.0,133.0,6057.0,725923
교육서비스업,42.0,7.8,21.1,165.1,163.9,1.1,3107.0,3057.0,50.0,3009.0,404512
보건업및사회복지서비스업,40.3,4.6,22.3,176.2,173.3,2.9,2323.0,2198.0,126.0,2350.0,955952
오락문화및운동관련서비스업,39.4,5.1,21.9,176.3,169.9,6.5,2306.0,2124.0,181.0,2639.0,86235
기타공공수리및개인서비스업,44.8,4.7,22.9,171.2,167.5,3.6,2074.0,1984.0,90.0,2345.0,265519
