산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,40.5,6.4,20.7,176.3,160.2,16.0,2660.0,2451.0,209.0,5482.0,8683949
농업임업및어업,44.6,9.3,20.9,168.5,163.7,4.8,2714.0,2650.0,64.0,6152.0,18968
광업,48.3,8.6,21.9,188.6,162.4,26.3,2967.0,2582.0,385.0,5730.0,11304
제조업,40.1,7.0,21.2,189.0,158.3,30.8,2635.0,2253.0,381.0,7336.0,2875073
전기가스수도하수,43.2,10.1,20.6,175.5,160.7,14.9,3273.6,2995.0,279.1,7966.1,107995
건설업,42.7,5.2,20.5,167.7,161.3,6.3,2722.0,2631.0,91.0,3321.0,458830
도매및소매업,38.6,5.2,21.0,175.7,166.2,9.6,2556.0,2436.0,119.0,4166.0,805688
운수및창고업,46.0,7.6,21.4,179.4,162.8,16.7,2427.0,2172.0,255.0,5178.0,506727
숙박및음식점업,40.2,3.6,22.4,190.4,180.6,9.8,1770.0,1672.0,97.0,1613.0,216979
정보통신업,36.7,6.8,19.3,157.9,153.0,4.9,3389.0,3315.0,74.0,5517.0,375070
금융및보험업,38.2,10.4,19.0,156.0,150.9,5.1,3602.0,3491.0,111.0,14099.0,384565
부동산업시설관리지원임대,43.7,4.6,20.1,178.6,166.8,11.8,2093.1,1942.5,150.6,2523.2,819131
전문과학및기술서비스업,38.1,6.5,19.4,158.5,154.2,4.3,3423.0,3351.0,73.0,5940.0,602380
교육서비스업,41.6,8.2,19.1,154.3,149.7,4.6,3056.0,3002.0,55.0,3392.0,380668
보건업및사회복지서비스업,38.9,4.7,21.0,170.9,162.2,8.7,2334.0,2214.0,121.0,2825.0,808865
오락문화및운동관련서비스업,38.9,5.2,21.1,175.2,160.4,14.8,2249.0,2049.0,200.0,3082.0,76301
기타공공수리및개인서비스업,42.3,5.0,21.6,173.6,166.4,7.2,2141.0,2051.0,91.0,2866.0,235405
