산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,42.9,6.8,21.7,176.7,167.7,9.0,3318.0,3118.0,200.0,5268.0,11061775
농업임업및어업,45.4,8.9,22.2,175.0,169.6,5.4,2912.0,2825.0,86.0,6172.0,28468
광업,51.6,8.3,23.3,199.8,177.9,21.8,3758.0,3295.0,463.0,5160.0,11449
제조업,42.5,8.0,21.9,186.4,169.9,16.5,3350.0,3003.0,347.0,6720.0,3140872
전기가스수도하수,44.8,9.9,22.2,186.0,173.7,12.3,4103.7,3761.2,342.5,9738.2,144464
건설업,45.5,5.8,22.1,178.9,172.6,6.3,3576.0,3421.0,154.0,2822.0,559595
도매및소매업,41.2,6.2,21.9,175.6,170.9,4.7,3368.0,3272.0,96.0,4337.0,1099397
운수및창고업,48.5,7.6,21.5,174.9,161.6,13.3,3018.0,2719.0,300.0,4703.0,553337
숙박및음식점업,41.5,3.3,21.4,170.8,162.9,8.0,2214.0,2086.0,129.0,958.0,348820
정보통신업,38.1,6.9,21.8,178.0,172.4,5.6,4105.0,3957.0,148.0,5436.0,476187
금융및보험업,40.4,12.0,21.7,177.0,172.0,5.0,4618.0,4489.0,129.0,17589.0,427729
부동산업시설관리지원임대,45.4,5.5,21.2,175.6,169.6,6.0,2796.3,2663.8,132.4,2880.5,1163259
전문과학및기술서비스업,40.3,7.5,21.6,176.4,171.5,4.9,4242.0,4069.0,173.0,8300.0,884835
교육서비스업,43.7,7.6,20.2,155.2,152.6,2.7,3425.0,3377.0,48.0,3172.0,462946
보건업및사회복지서비스업,43.6,4.3,21.9,164.3,159.2,5.2,2705.0,2586.0,119.0,2059.0,1406635
오락문화및운동관련서비스업,42.3,6.1,21.3,171.0,163.3,7.7,2796.0,2633.0,162.0,2543.0,114535
기타공공수리및개인서비스업,44.0,6.1,22.3,176.2,171.6,4.6,2794.0,2697.0,96.0,3256.0,239246
