산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3874156,2420102,1454054,20889239,12097073,8792166,3649614,14756978,45673,2513952,178869,3618309,3874957,13446901,2600972,966409,3125589,5602005,434111,2770598,168008,2225017,96868,2893152,31126,2132728,14656,2292738,1967,746602,1195,810407,636,1415992
농업임업및어업,3289,2846,443,39490,29262,10228,2590,25560,160,4689,539,9241,0,28209,8139,3142,1298,2928,931,6216,531,7200,418,12685,84,5896,25,3369,1,0,1,0,0,0
광업,2006,1788,218,15663,13599,2064,1826,10394,45,813,135,4456,2091,12383,939,250,1373,3131,277,1859,176,2436,149,4203,25,1719,3,479,1,0,2,0,0,0
제조업,428643,343129,85514,4102259,3038999,1063260,405205,2610251,9634,682452,13804,809556,403307,3418890,249586,30476,275818,571410,82843,550596,34729,468612,24125,725374,6790,466210,3614,566630,400,150228,199,131213,125,471986
전기가스증기및공기조절공급업,1393,1283,110,57364,49557,7807,550,4095,64,10646,779,42623,181,56348,762,73,598,1338,198,1311,89,1200,231,7872,168,11744,86,15355,11,4031,6,3939,6,10574
수도하수및폐기물처리원료재생업,8525,7210,1315,101983,85948,16035,7323,77401,296,8470,906,16112,3352,91782,6221,628,3927,9241,1955,12909,1217,16651,1080,32771,267,17641,75,10597,3,1032,0,0,1,0
건설업,133797,110314,23483,1317337,1146643,170694,127609,1051924,2997,184322,3191,81091,83557,654524,542868,36388,80451,170300,28210,183116,14053,186375,7648,224942,1981,134381,1131,186435,171,66068,99,68264,53,97456
도매및소매업,1015117,600360,414757,3129601,1697856,1431745,954958,2399238,10570,246987,49589,483376,1109066,1532779,314058,173698,894582,1625889,82710,514012,24520,318658,10102,286289,1973,132178,1079,166884,92,35312,49,33750,10,16629
운수및창고업,379388,355532,23856,1096051,966195,129856,368536,783371,2067,143714,8785,168966,357656,611105,44203,83087,357537,389963,8683,57626,5287,71408,4541,138352,1839,127679,1348,210980,98,35955,41,26765,14,37323
숙박및음식점업,710248,268831,441417,2114297,768741,1345556,691552,1867874,1199,29174,17497,217249,988567,573115,523689,28926,617466,1264195,73671,453810,14329,180033,3610,103374,928,62069,202,29591,32,12524,6,4084,4,4617
정보통신업,42425,35398,7027,562946,394715,168231,38240,360377,1230,121156,2955,81413,15099,504114,32613,11120,24415,50535,8248,53106,4618,61626,3161,96589,1138,78335,687,111872,99,38069,38,25249,21,47565
금융및보험업,42192,36240,5952,745257,329905,415352,9943,69448,3293,180005,28956,495804,5290,446714,22434,270819,11540,26166,11333,78089,10090,133241,7141,223610,1537,98034,398,63661,67,24980,53,35103,33,62373
부동산업,131079,86493,44586,464340,301146,163194,124175,359714,1037,41374,5867,63252,102692,307290,29494,24864,108977,181740,14269,91659,5501,71497,1850,52400,291,19356,153,24366,20,7027,12,7976,6,8319
전문과학및기술서비스업,102866,88173,14693,998123,683552,314571,89032,503285,5098,265284,8736,229554,65724,877315,43573,11511,65967,142398,21538,136531,8377,109933,4583,135143,1333,90318,771,125118,137,52717,100,65873,60,140092
사업시설관리사업지원및임대서비스업,66668,48164,18504,1127653,609707,517946,55418,639495,2797,263062,8453,225096,39158,865179,174768,48548,43742,84529,8864,57313,5082,68352,4941,150235,1902,131327,1469,245372,373,141917,232,156341,63,92267
공공행정국방및사회보장행정,12364,11589,775,687969,464325,223644,12109,676942,40,6527,215,4500,0,617533,67979,2457,1823,3427,1670,11838,3696,53853,3087,91196,918,61932,667,111547,231,89578,189,135388,83,129210
교육서비스업,175800,80284,95516,1563848,575435,988413,165815,1122048,1632,158882,8353,282918,154941,1065700,231147,112060,131431,230956,19107,121570,9539,130231,8066,248485,6176,436279,1209,156494,99,37746,96,66605,77,135482
보건업및사회복지서비스업,132553,73361,59192,1503360,302053,1201307,123397,1099174,1632,113055,7524,291131,108121,1232111,128428,34700,59613,177714,44416,279970,17139,224879,7196,214492,2703,185744,1249,191444,100,36705,61,40289,76,152123
예술스포츠및여가관련서비스업,101055,57332,43723,366766,192685,174081,98615,301892,400,20691,2040,44183,115427,136717,81820,32802,89630,156872,7202,45008,2259,29767,1233,37014,360,25023,337,50981,24,9190,6,4076,4,8835
협회및단체수리및기타개인서비스업,384748,211775,172973,894932,446750,448182,372721,794495,1482,32649,10545,67788,320728,415093,98251,60860,355401,509273,17986,114059,6776,89065,3706,108126,713,46863,153,21563,8,2736,5,3247,0,0
