산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3602461,2246617,1355844,18569256,10795474,7773782,3403515,13210994,42244,2231647,156702,3126615,3705442,11580285,2412082,871447,2963367,5298493,366257,2341182,146802,1955813,82541,2490187,27164,1877141,12987,2017880,1717,646282,1083,735505,543,1206773
농업임업및어업,2388,2161,227,30836,23244,7592,1794,18566,112,3410,482,8860,16,21584,6619,2617,957,2024,572,3807,459,6165,311,9387,59,3994,28,3803,0,0,2,0,0,0
광업,1836,1641,195,15473,13489,1984,1661,10179,47,1723,128,3571,1884,11939,1522,128,1227,3055,239,1532,216,2981,126,3497,20,1324,4,587,2,0,2,0,0,0
제조업,371906,302646,69260,3718188,2736677,981511,350168,2289152,9310,667126,12428,761910,362172,3082231,256951,16834,239809,483512,68226,456882,32180,443022,21662,661943,5944,414057,3408,539089,365,136823,191,129763,121,453097
전기가스증기및공기조절공급업,1067,1017,50,50506,44332,6174,300,2439,60,10070,707,37997,101,49744,591,70,390,919,180,1197,60,812,206,7015,136,9557,69,12327,12,4170,9,5746,5,8763
수도하수및폐기물처리원료재생업,7089,6177,912,89315,75932,13383,6053,68595,264,7016,772,13704,2616,80287,5873,539,3163,7506,1603,10589,1073,14707,942,29010,238,15986,67,9831,2,0,1,0,0,0
건설업,111181,95060,16121,1059721,927494,132227,105203,832426,2845,164318,3133,62977,71729,541460,423379,23153,68529,138562,22554,146905,11390,150705,5827,172548,1732,118164,882,139229,136,49674,85,58215,46,85719
도매및소매업,939357,555127,384230,2782007,1500893,1281114,885570,2158969,9473,199523,44314,423515,1067941,1236702,304729,172635,838195,1515498,68935,431536,20940,274826,8546,242929,1714,116589,895,134243,88,32503,38,25750,6,8133
운수및창고업,364349,344345,20004,1012741,901524,111217,354510,745324,2030,119826,7809,147591,345380,545777,40000,81584,344938,375689,8038,51964,4645,62323,3645,111962,1619,112910,1315,206061,98,36710,45,29649,6,25473
숙박및음식점업,673064,240781,432283,1909081,678018,1231063,661380,1734672,860,27195,10824,147214,947086,424766,512016,25213,598450,1233721,59862,366753,11093,140965,2903,84486,579,38836,141,21758,17,6502,15,10431,4,5629
정보통신업,33779,28644,5135,493205,346915,146290,29760,304981,1274,113890,2745,74334,12705,440402,30369,9729,18626,40323,6907,44538,3707,49170,2760,84384,991,67951,627,100140,100,36973,38,26163,23,43563
금융및보험업,41799,36296,5503,724771,331007,393764,10234,69939,3484,161694,28081,493138,5827,429234,23318,266392,11373,26010,10123,70896,11138,146318,7064,220585,1557,99558,391,58401,83,32315,42,28915,28,41773
부동산업,119049,81054,37995,412396,271213,141183,113211,334109,1033,30845,4805,47442,96401,264160,30079,21756,99271,163232,12224,79152,5344,69852,1817,51480,255,17265,115,17267,13,4782,7,4824,3,4542
전문과학및기술서비스업,84260,73609,10651,814647,564557,250090,72867,416300,4063,231910,7330,166437,57842,708720,40226,7859,54498,120227,17691,112060,6353,83903,3623,108193,1130,78375,681,111162,149,56905,93,62105,42,81717
사업시설관리사업지원및임대서비스업,56639,41468,15171,897401,480843,416558,46526,538876,2696,196626,7417,161899,34445,656967,167490,38499,38823,76317,6926,44475,3907,52700,3762,115377,1503,104584,1232,204698,256,97337,179,119294,51,82619
공공행정국방및사회보장행정,11939,11374,565,637871,445251,192620,11760,629212,33,5435,146,3224,2,574638,60061,3170,1926,3747,1561,11264,3696,53786,2816,83190,826,55524,643,109042,212,81209,191,132541,68,107568
교육서비스업,172289,79997,92292,1475660,559439,916221,162548,1072877,1514,154594,8227,248189,151992,984963,233958,104747,130790,234053,18085,115370,8909,120341,7077,220006,6025,427558,1168,149708,90,34748,78,52706,67,121170
보건업및사회복지서비스업,122764,67531,55233,1261722,268256,993466,115509,941213,1431,92806,5824,227703,103229,1030104,104641,23748,60180,182466,39703,248401,13960,181288,5754,175044,2060,141722,909,138196,68,25035,62,41855,68,127715
예술스포츠및여가관련서비스업,104597,60529,44068,343790,186392,157398,102891,288206,313,18729,1393,36855,121293,113168,86087,23242,95464,167786,5871,36338,1611,21348,1032,31690,290,20780,297,45534,22,7847,5,3175,5,9292
협회및단체수리및기타개인서비스업,383109,217160,165949,839925,439998,399927,371570,754959,1402,24911,10137,60055,322781,383439,84173,49532,356758,523846,16957,107523,6121,80601,2668,77461,486,32407,115,16804,4,1283,0,0,0,0
