"행정구역별","성별","연령별",2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
"행정구역별","성별","연령별",취업인구(15세 이상)-계,관리자,전문가 및 관련 종사자,사무 종사자,서비스 종사자,판매 종사자,농림어업 숙련 종사자,기능원 및 관련 기능 종사자,장치기계조작 및 조립 종사자,단순 노무 종사자,기타,미상
"동부","남자","25~29세",1041609,15778,284021,199511,82219,132615,3168,107960,150650,58157,7036,494
"동부","남자","30~34세",1362962,39410,379969,287836,80805,153445,5294,153356,186586,66385,9633,243
"동부","남자","35~39세",1528351,74906,378246,307556,83221,163195,7724,199693,219341,83953,10298,218
"동부","남자","40~44세",1543566,102955,302568,291251,81007,165614,10916,218807,263118,100106,7026,198
"동부","남자","45~49세",1503499,102737,259667,246015,75741,158135,16596,227579,297565,113323,5959,182
"동부","남자","50~54세",1337474,73849,203994,193880,68882,143786,22828,212589,288142,124233,5153,138
"동부","남자","55~59세",851796,42649,116822,101032,45233,91947,22705,126660,192713,111303,659,73
"동부","남자","60~64세",483843,19119,53839,40717,21706,54143,23075,56808,100136,114141,108,51
"동부","남자","65~69세",237573,7981,23946,17633,10670,26286,18142,17344,39399,76124,23,25
"동부","남자","70세 이상",140206,6311,15855,10571,4857,15865,25262,5912,13348,42147,54,24
"동부","여자","합계",7430530,86987,1787112,1427968,1228966,1206185,102634,297912,380795,909173,1484,1314
"동부","여자","15~19세",88133,75,9476,11009,25686,21344,529,2178,6274,11295,0,267
"동부","여자","20~24세",549848,1121,183844,144284,84647,82595,777,7206,26611,17970,192,601
"동부","여자","25~29세",1059241,9593,421866,351183,94571,110577,988,13282,33220,23350,418,193
"동부","여자","30~34세",904322,13888,330502,275333,89886,110720,1600,15708,26269,39810,527,79
"동부","여자","35~39세",964560,16364,279068,235105,121214,154912,2765,31728,43631,79548,179,46
"동부","여자","40~44세",1080817,17117,234424,185588,181151,206917,5408,54131,75648,120309,86,38
"동부","여자","45~49세",1046280,13525,170444,117095,230658,205644,9665,67538,80008,151602,82,19
"동부","여자","50~54세",837119,8202,91369,68135,211383,159495,14953,58161,56388,169011,0,22
"동부","여자","55~59세",470806,4375,42965,25960,116201,81126,16987,28629,22901,131648,0,14
"동부","여자","60~64세",232959,1586,14784,8512,47996,38261,16091,11850,6867,87003,0,9
"동부","여자","65~69세",112779,691,5078,3436,17361,19940,14486,4853,2196,44733,0,5
"동부","여자","70세 이상",83666,450,3292,2328,8212,14654,18385,2648,782,32894,0,21
"읍부","계","합계",1962137,31419,264953,276058,188435,193304,299310,172816,299107,222165,13925,645
"읍부","계","15~19세",16059,0,1155,1438,3316,2432,771,447,3538,2795,15,152
"읍부","계","20~24세",71883,157,15548,13586,9156,8106,1460,3580,13434,5754,876,226
"읍부","계","25~29세",167869,1462,42493,40197,13584,12881,3486,12688,27935,10313,2752,78
"읍부","계","30~34세",218292,3129,49106,50548,16619,19651,5372,19560,36689,14033,3556,29
"읍부","계","35~39세",271992,4978,51000,56058,23338,28162,9238,28302,46154,21640,3095,27
"읍부","계","40~44세",278906,6716,39978,45562,28800,32256,13819,30750,52293,26874,1833,25
"읍부","계","45~49세",261287,5865,29412,30812,32212,29520,24343,29842,47549,30705,1010,17
"읍부","계","50~54세",226770,4394,18545,22164,28491,24128,34843,24571,37106,31833,667,28
"읍부","계","55~59세",153190,2922,9615,9617,18276,14539,39272,13378,20009,25446,99,17
"읍부","계","60~64세",109731,1087,4570,3330,8807,10194,44650,5900,9180,21988,11,14
"읍부","계","65~69세",82613,383,2174,1569,3749,5855,46452,2649,3893,15873,0,16
"읍부","계","70세 이상",103545,326,1357,1177,2087,5580,75604,1149,1327,14911,11,16
"읍부","남자","합계",1144512,26370,138003,160443,60805,92359,159602,146323,238671,107968,13511,457
"읍부","남자","15~19세",7274,0,664,437,1498,886,408,330,1244,1678,15,114
"읍부","남자","20~24세",28580,47,2865,3179,3739,3116,857,2925,7093,3840,770,149
"읍부","남자","25~29세",94344,845,16932,16494,6537,7498,2542,11783,22363,6708,2580,62
"읍부","남자","30~34세",139075,2393,25163,28281,7431,10732,3479,18020,32283,7784,3488,21
"읍부","남자","35~39세",171377,4091,26581,32844,9040,14223,6037,25391,38858,11231,3061,20
"읍부","남자","40~44세",168872,5745,21357,28168,8565,14686,8419,26063,41082,12961,1807,19
"읍부","남자","45~49세",155295,4921,17382,21746,7966,13044,13983,24246,36410,14575,1010,12
"읍부","남자","50~54세",134444,3979,13239,16587,6751,11017,18661,19725,29732,14065,667,21
"읍부","남자","55~59세",87951,2739,7281,7779,4578,6935,19557,10508,17054,11415,91,14
"읍부","남자","60~64세",62276,1006,3627,2838,2681,5201,23588,4696,7997,10622,11,9
"읍부","남자","65~69세",43269,333,1809,1235,1375,2732,22901,1905,3452,7520,0,7
"읍부","남자","70세 이상",51755,271,1103,855,644,2289,39170,731,1103,5569,11,9
"읍부","여자","합계",817625,5049,126950,115615,127630,100945,139708,26493,60436,114197,414,188
"읍부","여자","15~19세",8785,0,491,1001,1818,1546,363,117,2294,1117,0,38
"읍부","여자","20~24세",43303,110,12683,10407,5417,4990,603,655,6341,1914,106,77
"읍부","여자","25~29세",73525,617,25561,23703,7047,5383,944,905,5572,3605,172,16
"읍부","여자","30~34세",79217,736,23943,22267,9188,8919,1893,1540,4406,6249,68,8
"읍부","여자","35~39세",100615,887,24419,23214,14298,13939,3201,2911,7296,10409,34,7
"읍부","여자","40~44세",110034,971,18621,17394,20235,17570,5400,4687,11211,13913,26,6
"읍부","여자","45~49세",105992,944,12030,9066,24246,16476,10360,5596,11139,16130,0,5
"읍부","여자","50~54세",92326,415,5306,5577,21740,13111,16182,4846,7374,17768,0,7
"읍부","여자","55~59세",65239,183,2334,1838,13698,7604,19715,2870,2955,14031,8,3
"읍부","여자","60~64세",47455,81,943,492,6126,4993,21062,1204,1183,11366,0,5
"읍부","여자","65~69세",39344,50,365,334,2374,3123,23551,744,441,8353,0,9
"읍부","여자","70세 이상",51790,55,254,322,1443,3291,36434,418,224,9342,0,7
"면부","계","합계",2411284,19138,180735,167620,169254,132713,1116097,134034,222535,252950,15614,594
"면부","계","15~19세",15697,5,921,1173,2309,1984,1354,505,4785,2421,35,205
"면부","계","20~24세",68476,70,11709,11518,7193,6063,6297,3424,15390,5961,691,160
"면부","계","25~29세",140423,676,30268,28481,10447,9469,10992,11584,25846,9776,2831,53
"면부","계","30~34세",148997,1605,27816,29469,11308,10953,14609,13561,24468,11567,3623,18
"면부","계","35~39세",186176,2590,28575,27977,16006,15392,25781,17837,30215,17915,3872,16
"면부","계","40~44세",213195,3383,23977,23252,21309,17723,43125,20152,33308,24753,2193,20
"면부","계","45~49세",255982,3404,20250,18571,27811,19131,80380,22274,31922,30740,1480,19
"면부","계","50~54세",294318,2956,15573,14199,30757,18455,127042,20947,27432,36116,805,36
"면부","계","55~59세",258966,2564,11095,7600,21134,12485,143218,12519,16650,31601,80,20
"면부","계","60~64세",235746,1213,5530,2649,11889,8718,163045,6683,7978,28028,4,9
"면부","계","65~69세",223918,372,2891,1557,5606,5723,178769,2880,2887,23220,0,13
"면부","계","70세 이상",369390,300,2130,1174,3485,6617,321485,1668,1654,30852,0,25
