"전국","생산및관련종사자,운수장비운전사및단순노무자","25 - 29세",611798,559114
"전국","생산및관련종사자,운수장비운전사및단순노무자","30 - 34세",500905,456196
"전국","생산및관련종사자,운수장비운전사및단순노무자","35 - 39세",405869,355539
"전국","생산및관련종사자,운수장비운전사및단순노무자","40 - 44세",332967,285422
"전국","생산및관련종사자,운수장비운전사및단순노무자","45 - 49세",217230,184135
"전국","생산및관련종사자,운수장비운전사및단순노무자","50 - 54세",115730,98374
"전국","생산및관련종사자,운수장비운전사및단순노무자","55 - 59세",66111,57661
"전국","생산및관련종사자,운수장비운전사및단순노무자","60 - 64세",22811,19676
"전국","생산및관련종사자,운수장비운전사및단순노무자","65세이상",10677,8735
"전국","생산및관련종사자,운수장비운전사및단순노무자","미상",,-
"전국","생산및관련종사자,운수장비운전사및단순노무자","14세",15779,4678
"전국","분류불능자","계",542,498
"전국","분류불능자","15 - 19세",,-
"전국","분류불능자","20 - 24세",,-
"전국","분류불능자","25 - 29세",,-
"전국","분류불능자","30 - 34세",542,498
"전국","분류불능자","35 - 39세",,-
"전국","분류불능자","40 - 44세",,-
"전국","분류불능자","45 - 49세",,-
"전국","분류불능자","50 - 54세",,-
"전국","분류불능자","55 - 59세",,-
"전국","분류불능자","60 - 64세",,-
"전국","분류불능자","65세이상",,-
"전국","분류불능자","미상",,-
"전국","분류불능자","14세",,-
"시(구)부","계","계",6416406,4420474
"시(구)부","계","15 - 19세",652868,240842
"시(구)부","계","20 - 24세",1101651,487102
"시(구)부","계","25 - 29세",1051886,847424
"시(구)부","계","30 - 34세",948366,785605
"시(구)부","계","35 - 39세",822133,652546
"시(구)부","계","40 - 44세",710669,552334
"시(구)부","계","45 - 49세",502490,384593
"시(구)부","계","50 - 54세",301275,226199
"시(구)부","계","55 - 59세",183715,140644
"시(구)부","계","60 - 64세",76534,60351
"시(구)부","계","65세이상",47254,37058
"시(구)부","계","미상",,-
"시(구)부","계","14세",17565,5776
"시(구)부","전문,기술 및 관련직 종사자","계",444827,314674
"시(구)부","전문,기술 및 관련직 종사자","15 - 19세",10803,3889
"시(구)부","전문,기술 및 관련직 종사자","20 - 24세",65391,21395
"시(구)부","전문,기술 및 관련직 종사자","25 - 29세",93680,61735
"시(구)부","전문,기술 및 관련직 종사자","30 - 34세",74249,56845
"시(구)부","전문,기술 및 관련직 종사자","35 - 39세",62191,50443
"시(구)부","전문,기술 및 관련직 종사자","40 - 44세",55271,47140
"시(구)부","전문,기술 및 관련직 종사자","45 - 49세",39060,34222
"시(구)부","전문,기술 및 관련직 종사자","50 - 54세",21987,19210
"시(구)부","전문,기술 및 관련직 종사자","55 - 59세",13135,11720
"시(구)부","전문,기술 및 관련직 종사자","60 - 64세",5382,4880
"시(구)부","전문,기술 및 관련직 종사자","65세이상",3675,3195
"시(구)부","전문,기술 및 관련직 종사자","미상",,-
"시(구)부","전문,기술 및 관련직 종사자","14세",3,-
"시(구)부","행정 및 관리직종사자","계",121956,120271
"시(구)부","행정 및 관리직종사자","15 - 19세",,-
"시(구)부","행정 및 관리직종사자","20 - 24세",422,397
"시(구)부","행정 및 관리직종사자","25 - 29세",6394,6230
"시(구)부","행정 및 관리직종사자","30 - 34세",15996,15755
"시(구)부","행정 및 관리직종사자","35 - 39세",23259,22926
"시(구)부","행정 및 관리직종사자","40 - 44세",26243,25964
"시(구)부","행정 및 관리직종사자","45 - 49세",21462,21203
"시(구)부","행정 및 관리직종사자","50 - 54세",14442,14232
