"행정구역별","산업별","조직형태별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","계","종사자수[명]","명","50402","51545","52775","51727","51562","51676","50506","53595","55388","57364","58688","61185","64066","67526","69138",
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","개인사업체","사업체수[개]","개","83","70","40","37","34","51","81","92","111","151","237","385","614","908","2132",
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","개인사업체","종사자수[명]","명","1074","788","434","144","108","209","255","345","417","351","649","1040","1236","1459","2699",
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","회사법인","사업체수[개]","개","284","270","287","351","377","403","456","494","648","683","789","889","1156","1648","1738",
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","회사법인","종사자수[명]","명","24709","27178","28044","26836","26277","27367","27630","29699","30957","31044","32557","33776","35139","36607","37060",
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","회사이외법인","사업체수[개]","개","488","496","528","517","538","525","523","527","534","551","549","547","563","550","578",
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","회사이외법인","종사자수[명]","명","24276","23240","24288","24734","25168","24064","22602","23532","23989","25945","25460","26347","27663","29430","29375",
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","비법인단체","사업체수[개]","개","39","44","5","5","2","6","7","8","9","8","9","8","10","13","1",
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","비법인단체","종사자수[명]","명","343","339","9","13","X","36","19","19","25","24","22","22","28","30","X",
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계","사업체수[개]","개","5216","5450","5495","5683","5996","6520","7089","7565","8366","8525","8521","8533","8972","9423","9627",
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계","종사자수[명]","명","75749","79657","80664","82872","84132","87804","89315","95103","99187","101983","102578","103413","108906","114085","115110",
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","개인사업체","사업체수[개]","개","1554","1543","1515","1569","1716","1899","2165","2267","2587","2721","2727","2727","2878","2981","3138",
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","개인사업체","종사자수[명]","명","8162","8027","7880","7938","8392","9019","9210","9865","10692","11390","10955","10446","10625","10803","10867",
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","회사법인","사업체수[개]","개","2591","2832","2879","3027","3158","3489","3790","4128","4579","4621","4656","4657","4947","5285","5339",
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","회사법인","종사자수[명]","명","41468","45734","46457","48649","49940","52012","53618","57669","60881","62312","63573","63989","68470","72494","72600",
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","회사이외법인","사업체수[개]","개","240","240","1060","1079","1105","1106","1111","1150","1176","1157","1121","1131","1126","1133","1147",
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","회사이외법인","종사자수[명]","명","7338","7207","25798","26243","25736","26653","26365","27454","27461","28141","27951","28882","29698","30554","31636",
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","비법인단체","사업체수[개]","개","831","835","41","8","17","26","23","20","24","26","17","18","21","24","3",
