산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,다사업사업체,다사업체종사자,300명이상사업체,300명이상종사자
전체,3281886,0.628,0.372,16160266,0.583,0.417,0.95,0.715,0.218,0.6,0.131,0.051,0.829,0.302,0.097,0.125,0.04,0.108,0.022,0.135,0.007,0.101,0.003,0.107,0.05,0.285,0.001,0.121
농업임업및어업,2336,0.931,0.069,30238,0.765,0.235,0.766,0.631,0.002,0.671,0.198,0.129,0.373,0.066,0.243,0.125,0.216,0.221,0.128,0.297,0.03,0.163,0.009,0.097,0.234,0.369,0.0,0.03
광업,1817,0.921,0.079,16571,0.877,0.123,0.892,0.583,0.113,0.805,0.079,0.004,0.652,0.166,0.14,0.103,0.117,0.179,0.076,0.243,0.012,0.089,0.001,0.0,0.108,0.417,0.002,0.219
제조업,328565,0.823,0.177,3262933,0.735,0.265,0.942,0.612,0.103,0.809,0.084,0.004,0.643,0.132,0.18,0.12,0.092,0.124,0.058,0.175,0.016,0.11,0.009,0.145,0.058,0.388,0.002,0.193
전기가스수도하수,6593,0.901,0.099,134599,0.867,0.133,0.763,0.509,0.015,0.92,0.059,0.007,0.358,0.045,0.24,0.079,0.161,0.109,0.158,0.242,0.057,0.192,0.022,0.176,0.237,0.491,0.005,0.157
건설업,97391,0.88,0.12,902802,0.872,0.128,0.915,0.753,0.073,0.561,0.348,0.019,0.578,0.127,0.212,0.151,0.122,0.175,0.064,0.202,0.014,0.102,0.008,0.136,0.085,0.247,0.002,0.107
도매및소매업,858619,0.602,0.398,2618346,0.546,0.454,0.947,0.764,0.393,0.423,0.118,0.067,0.892,0.531,0.073,0.149,0.023,0.098,0.009,0.087,0.002,0.044,0.001,0.057,0.053,0.236,0.0,0.035
운수및창고업,343986,0.956,0.044,976105,0.9,0.1,0.972,0.73,0.336,0.565,0.045,0.054,0.947,0.363,0.022,0.05,0.013,0.061,0.01,0.104,0.005,0.115,0.004,0.215,0.028,0.27,0.0,0.092
숙박및음식점업,628624,0.342,0.658,1755201,0.336,0.664,0.988,0.918,0.514,0.207,0.26,0.02,0.899,0.669,0.081,0.175,0.015,0.066,0.004,0.043,0.001,0.02,0.0,0.011,0.012,0.082,0.0,0.015
정보통신업,24306,0.86,0.14,432928,0.714,0.286,0.835,0.602,0.02,0.889,0.074,0.017,0.462,0.063,0.232,0.084,0.133,0.1,0.105,0.178,0.039,0.151,0.024,0.216,0.165,0.398,0.006,0.208
금융및보험업,38408,0.887,0.113,692071,0.475,0.525,0.254,0.111,0.008,0.594,0.028,0.37,0.261,0.034,0.24,0.093,0.269,0.197,0.174,0.297,0.042,0.148,0.011,0.091,0.746,0.889,0.004,0.139
부동산업시설관리지원임대,160314,0.714,0.286,1156852,0.591,0.409,0.916,0.679,0.111,0.69,0.142,0.058,0.791,0.187,0.104,0.093,0.054,0.098,0.032,0.132,0.009,0.089,0.007,0.163,0.084,0.321,0.003,0.238
전문과학및기술서비스업,67721,0.894,0.106,732048,0.701,0.299,0.862,0.522,0.068,0.872,0.05,0.01,0.606,0.131,0.23,0.133,0.086,0.104,0.049,0.134,0.016,0.102,0.01,0.153,0.138,0.478,0.004,0.243
교육서비스업,162601,0.462,0.538,1363740,0.386,0.614,0.962,0.846,0.109,0.66,0.157,0.074,0.749,0.161,0.11,0.084,0.055,0.089,0.044,0.165,0.035,0.289,0.005,0.084,0.038,0.154,0.001,0.128
보건업및사회복지서비스업,99899,0.597,0.403,981216,0.234,0.766,0.975,0.823,0.084,0.817,0.076,0.023,0.527,0.162,0.299,0.191,0.108,0.143,0.042,0.129,0.015,0.106,0.006,0.098,0.025,0.177,0.002,0.171
오락문화및운동관련서비스업,101955,0.592,0.408,321267,0.554,0.446,0.988,0.85,0.385,0.306,0.237,0.072,0.929,0.519,0.043,0.084,0.013,0.056,0.008,0.08,0.003,0.063,0.003,0.148,0.012,0.15,0.0,0.05
기타공공수리및개인서비스업,358751,0.583,0.417,783349,0.536,0.464,0.983,0.918,0.398,0.435,0.105,0.062,0.933,0.63,0.043,0.123,0.016,0.096,0.006,0.085,0.001,0.037,0.0,0.023,0.017,0.082,0.0,0.005
