산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,다사업사업체,다사업체종사자,300명이상사업체,300명이상종사자
전체,4090651,0.615,0.385,21500210,0.564,0.436,0.937,0.692,0.186,0.637,0.131,0.045,0.8,0.273,0.12,0.146,0.045,0.112,0.024,0.134,0.007,0.096,0.003,0.103,0.063,0.308,0.001,0.135
농업임업및어업,4261,0.854,0.146,42324,0.718,0.282,0.809,0.653,0.0,0.767,0.164,0.07,0.496,0.112,0.258,0.171,0.13,0.179,0.089,0.27,0.018,0.125,0.008,0.106,0.191,0.347,0.001,0.039
광업,1916,0.89,0.11,14998,0.862,0.138,0.896,0.625,0.124,0.813,0.056,0.007,0.697,0.185,0.133,0.119,0.072,0.132,0.084,0.317,0.01,0.09,0.002,0.025,0.104,0.375,0.002,0.132
제조업,437024,0.791,0.209,4105871,0.742,0.258,0.937,0.629,0.095,0.835,0.064,0.005,0.633,0.141,0.209,0.151,0.077,0.111,0.056,0.179,0.016,0.114,0.008,0.129,0.063,0.371,0.002,0.175
전기가스수도하수,11315,0.833,0.167,172972,0.84,0.16,0.801,0.497,0.023,0.938,0.037,0.003,0.496,0.071,0.201,0.086,0.125,0.111,0.12,0.249,0.04,0.177,0.015,0.158,0.199,0.503,0.003,0.148
건설업,142840,0.809,0.191,1481673,0.86,0.14,0.95,0.801,0.062,0.448,0.451,0.039,0.547,0.121,0.234,0.148,0.138,0.174,0.057,0.159,0.013,0.083,0.008,0.132,0.05,0.199,0.003,0.183
도매및소매업,1027109,0.586,0.414,3250867,0.529,0.471,0.929,0.752,0.333,0.512,0.106,0.05,0.87,0.5,0.091,0.179,0.026,0.107,0.01,0.091,0.002,0.043,0.001,0.048,0.071,0.248,0.0,0.033
운수및창고업,400282,0.932,0.068,1145752,0.866,0.134,0.971,0.701,0.327,0.522,0.052,0.099,0.939,0.355,0.025,0.057,0.016,0.073,0.012,0.124,0.005,0.109,0.003,0.183,0.029,0.299,0.0,0.098
숙박및음식점업,766315,0.394,0.606,2326716,0.369,0.631,0.969,0.882,0.452,0.292,0.248,0.008,0.857,0.59,0.114,0.232,0.023,0.095,0.005,0.046,0.001,0.016,0.0,0.01,0.031,0.118,0.0,0.011
정보통신업,43888,0.822,0.178,599006,0.688,0.312,0.892,0.615,0.025,0.908,0.05,0.017,0.588,0.087,0.188,0.089,0.106,0.103,0.072,0.16,0.025,0.125,0.017,0.205,0.108,0.385,0.004,0.23
금융및보험업,43568,0.826,0.174,711494,0.44,0.56,0.281,0.109,0.009,0.633,0.024,0.335,0.318,0.043,0.248,0.105,0.241,0.195,0.148,0.276,0.031,0.121,0.01,0.096,0.719,0.891,0.004,0.164
부동산업시설관리지원임대,230694,0.657,0.343,1708577,0.56,0.44,0.913,0.567,0.097,0.75,0.113,0.04,0.799,0.181,0.107,0.093,0.048,0.086,0.028,0.111,0.008,0.078,0.007,0.155,0.087,0.433,0.003,0.297
전문과학및기술서비스업,112302,0.843,0.157,1075234,0.673,0.327,0.858,0.492,0.065,0.883,0.044,0.008,0.648,0.142,0.208,0.139,0.08,0.109,0.041,0.127,0.012,0.084,0.007,0.123,0.142,0.508,0.003,0.275
교육서비스업,189800,0.435,0.565,1630311,0.365,0.635,0.939,0.728,0.101,0.679,0.146,0.074,0.735,0.154,0.126,0.093,0.054,0.085,0.045,0.162,0.033,0.269,0.006,0.09,0.061,0.272,0.002,0.148
보건업및사회복지서비스업,147452,0.54,0.46,1902052,0.19,0.81,0.927,0.738,0.06,0.803,0.104,0.033,0.4,0.09,0.342,0.17,0.151,0.154,0.07,0.163,0.025,0.131,0.011,0.132,0.073,0.262,0.002,0.16
오락문화및운동관련서비스업,121639,0.567,0.433,442046,0.516,0.484,0.971,0.817,0.302,0.386,0.227,0.085,0.872,0.417,0.086,0.149,0.023,0.083,0.011,0.093,0.004,0.068,0.003,0.127,0.029,0.183,0.0,0.062
기타공공수리및개인서비스업,410246,0.519,0.481,890317,0.505,0.495,0.961,0.876,0.387,0.481,0.082,0.049,0.93,0.609,0.046,0.134,0.016,0.096,0.007,0.093,0.001,0.035,0.0,0.028,0.039,0.124,0.0,0.006
