산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,다사업사업체,다사업체종사자,300명이상사업체,300명이상종사자
전체,3590522,0.623,0.377,17931385,0.577,0.423,0.945,0.702,0.207,0.614,0.131,0.048,0.825,0.295,0.102,0.13,0.04,0.106,0.022,0.134,0.007,0.102,0.003,0.106,0.055,0.298,0.001,0.126
농업임업및어업,2388,0.905,0.095,30836,0.754,0.246,0.751,0.602,0.001,0.7,0.215,0.085,0.401,0.066,0.24,0.123,0.192,0.2,0.13,0.304,0.025,0.13,0.012,0.123,0.249,0.398,0.001,0.054
광업,1836,0.894,0.106,15473,0.872,0.128,0.905,0.658,0.122,0.772,0.098,0.008,0.668,0.197,0.13,0.099,0.118,0.193,0.069,0.226,0.011,0.086,0.002,0.038,0.095,0.342,0.002,0.161
제조업,371906,0.814,0.186,3718188,0.736,0.264,0.942,0.616,0.097,0.829,0.069,0.005,0.645,0.13,0.183,0.123,0.087,0.119,0.058,0.178,0.016,0.111,0.009,0.145,0.058,0.384,0.002,0.194
전기가스수도하수,8156,0.882,0.118,139821,0.86,0.14,0.779,0.508,0.019,0.93,0.046,0.004,0.436,0.06,0.219,0.084,0.139,0.111,0.141,0.258,0.046,0.183,0.017,0.158,0.221,0.492,0.004,0.146
건설업,111181,0.855,0.145,1059721,0.875,0.125,0.946,0.786,0.068,0.511,0.4,0.022,0.616,0.131,0.203,0.139,0.102,0.142,0.052,0.163,0.016,0.112,0.008,0.131,0.054,0.214,0.002,0.183
도매및소매업,939357,0.591,0.409,2782007,0.54,0.46,0.943,0.776,0.384,0.445,0.11,0.062,0.892,0.545,0.073,0.155,0.022,0.099,0.009,0.087,0.002,0.042,0.001,0.048,0.057,0.224,0.0,0.024
운수및창고업,364349,0.945,0.055,1012741,0.89,0.11,0.973,0.736,0.341,0.539,0.039,0.081,0.947,0.371,0.022,0.051,0.013,0.062,0.01,0.111,0.004,0.111,0.004,0.203,0.027,0.264,0.0,0.091
숙박및음식점업,673064,0.358,0.642,1909081,0.355,0.645,0.983,0.909,0.496,0.222,0.268,0.013,0.889,0.646,0.089,0.192,0.016,0.074,0.004,0.044,0.001,0.02,0.0,0.011,0.017,0.091,0.0,0.012
정보통신업,33779,0.848,0.152,493205,0.703,0.297,0.881,0.618,0.026,0.893,0.062,0.02,0.551,0.082,0.204,0.09,0.11,0.1,0.082,0.171,0.029,0.138,0.019,0.203,0.119,0.382,0.005,0.216
금융및보험업,41799,0.868,0.132,724771,0.457,0.543,0.245,0.096,0.008,0.592,0.032,0.368,0.272,0.036,0.242,0.098,0.266,0.202,0.169,0.304,0.037,0.137,0.009,0.081,0.755,0.904,0.004,0.142
부동산업시설관리지원임대,175688,0.697,0.303,1309797,0.574,0.426,0.909,0.667,0.1,0.703,0.151,0.046,0.786,0.183,0.109,0.094,0.053,0.094,0.032,0.127,0.01,0.093,0.008,0.169,0.091,0.333,0.003,0.239
전문과학및기술서비스업,84260,0.874,0.126,814647,0.693,0.307,0.865,0.511,0.071,0.87,0.049,0.01,0.647,0.148,0.21,0.138,0.075,0.103,0.043,0.133,0.013,0.096,0.008,0.136,0.135,0.489,0.003,0.246
교육서비스업,172289,0.464,0.536,1475660,0.379,0.621,0.943,0.727,0.103,0.667,0.159,0.071,0.759,0.159,0.105,0.078,0.052,0.082,0.041,0.149,0.035,0.29,0.007,0.101,0.057,0.273,0.001,0.141
보건업및사회복지서비스업,122764,0.55,0.45,1261722,0.213,0.787,0.941,0.746,0.082,0.816,0.083,0.019,0.49,0.145,0.323,0.197,0.114,0.144,0.047,0.139,0.017,0.112,0.007,0.11,0.059,0.254,0.002,0.154
오락문화및운동관련서비스업,104597,0.579,0.421,343790,0.542,0.458,0.984,0.838,0.353,0.329,0.25,0.068,0.913,0.488,0.056,0.106,0.015,0.062,0.01,0.092,0.003,0.06,0.003,0.132,0.016,0.162,0.0,0.059
기타공공수리및개인서비스업,383109,0.567,0.433,839925,0.524,0.476,0.97,0.899,0.384,0.457,0.1,0.059,0.931,0.624,0.044,0.128,0.016,0.096,0.007,0.092,0.001,0.039,0.0,0.02,0.03,0.101,0.0,0.002
