산업분류,사업체수,남대표,여대표
전체,3470023,2169749,1300274
농업임업및어업,2363,2161,202
광업,1781,1603,178
제조업,351346,286905,64441
전기가스증기및공기조절공급업,985,953,32
수도하수및폐기물처리원료재생업,6520,5746,774
건설업,106059,91258,14801
도매및소매업,901399,536012,365387
운수및창고업,354142,336689,17453
숙박및음식점업,654892,231624,423268
정보통신업,29902,25513,4389
금융및보험업,40814,35941,4873
부동산업,117682,80798,36884
전문과학및기술서비스업,76792,67770,9022
사업시설관리사업지원및임대서비스업,52823,38803,14020
공공행정국방및사회보장행정,11903,11374,529
교육서비스업,170575,79220,91355
보건업및사회복지서비스업,114578,65025,49553
예술스포츠및여가관련서비스업,103675,60743,42932
협회및단체수리및기타개인서비스업,371792,211611,160181
