산업분류,사업체수,남대표,여대표
전체,4325195,2667568,1657627
농업임업및어업,5948,4940,1008
광업,1654,1415,239
제조업,453257,352698,100559
전기가스증기및공기조절공급업,4449,3398,1051
수도하수및폐기물처리원료재생업,9627,7957,1670
건설업,158401,125380,33021
도매및소매업,1064434,629883,434551
운수및창고업,420889,389516,31373
숙박및음식점업,829555,343952,485603
정보통신업,49435,39878,9557
금융및보험업,43242,35576,7666
부동산업,177046,110807,66239
전문과학및기술서비스업,129778,105937,23841
사업시설관리사업지원및임대서비스업,77568,54445,23123
공공행정국방및사회보장행정,12385,11212,1173
교육서비스업,191529,81405,110124
보건업및사회복지서비스업,149351,84145,65206
예술스포츠및여가관련서비스업,123249,70504,52745
협회및단체수리및기타개인서비스업,423398,214520,208878
