산업분류,사업체수,남대표,여대표
전체,3950169,2453227,1496942
농업임업및어업,3627,3119,508
광업,2012,1795,217
제조업,430948,343894,87054
전기가스증기및공기조절공급업,1584,1420,164
수도하수및폐기물처리원료재생업,8521,7195,1326
건설업,137220,112614,24606
도매및소매업,1017340,599707,417633
운수및창고업,385968,361231,24737
숙박및음식점업,729175,279036,450139
정보통신업,42539,35325,7214
금융및보험업,42809,36292,6517
부동산업,143461,93325,50136
전문과학및기술서비스업,103223,88163,15060
사업시설관리사업지원및임대서비스업,67237,48140,19097
공공행정국방및사회보장행정,12454,11614,840
교육서비스업,180595,80762,99833
보건업및사회복지서비스업,141372,77014,64358
예술스포츠및여가관련서비스업,110230,62646,47584
협회및단체수리및기타개인서비스업,389854,209935,179919
