inderstryType,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
전체,3664832,2276523,1388309,3456559,208273,3003350,383104,151427,84109,27115,12761,2966,18528334,10639698,7888636,12907001,5621333,3732285,11641755,2298479,855815,5374374,2432726,1997925,2517132,1867736,1985881,2352560,40.5,6.4,20.7,176.3,160.2,16.0,2660.0,2451.0,209.0,5482.0
농업임업및어업,2655,2379,276,2019,636,979,690,529,363,67,25,2,34202,25184,9018,21610,12592,8,24468,6725,3001,2154,4715,7065,10920,4625,3380,1343,44.6,9.3,20.9,168.5,163.7,4.8,2714.0,2650.0,64.0,6152.0
광업,1881,1679,202,1700,181,1286,235,189,145,19,3,4,15415,13450,1965,10010,5405,1974,12156,1183,102,3112,1559,2573,4132,1285,382,2372,48.3,8.6,21.9,188.6,162.4,26.3,2967.0,2582.0,385.0,5730.0
제조업,382575,309601,72974,360052,22523,245173,71482,32625,22760,6316,3522,697,3825678,2826468,999210,2372908,1452770,364644,3203250,240594,17190,497537,468513,440666,687288,436546,558070,737058,40.1,7.0,21.2,189.0,158.3,30.8,2635.0,2253.0,381.0,7336.0
전기가스수도하수,8686,7625,1061,6815,1871,3720,1870,1310,1211,401,142,32,148698,127773,20925,75883,72815,2811,138659,6368,860,8813,12329,17828,37629,27069,23197,21833,43.2,10.1,20.6,175.5,160.7,14.9,3273.6,2995.0,279.1,7966.1
건설업,118767,100520,18247,111573,7194,72975,25135,12502,5626,1454,836,239,1045603,905905,139698,811606,233997,73513,574770,376573,20747,150645,163757,164394,163575,98045,134494,170693,42.7,5.2,20.5,167.7,161.3,6.3,2722.0,2631.0,91.0,3321.0
도매및소매업,957058,562558,394500,899828,57230,849228,72693,22934,9360,1726,989,128,2885740,1558072,1327668,2212634,673106,1068863,1348754,307473,160650,1530829,452588,299517,263816,115853,155363,67774,38.6,5.2,21.0,175.7,166.2,9.6,2556.0,2436.0,119.0,4166.0
운수및창고업,371628,350650,20978,361440,10188,351581,8350,4856,3759,1669,1277,136,1015915,898498,117417,743048,272867,351557,537019,38844,88495,382864,53957,64987,114766,115888,199220,84233,46.0,7.6,21.4,179.4,162.8,16.7,2427.0,2172.0,255.0,5178.0
숙박및음식점업,685669,249025,436644,672490,13179,605700,63667,12224,3214,668,157,39,1986673,711307,1275366,1794366,192307,960084,459913,542163,24513,1259000,390137,154091,92365,44295,24011,22774,40.2,3.6,22.4,190.4,180.6,9.8,1770.0,1672.0,97.0,1613.0
정보통신업,35290,29722,5568,31332,3958,19596,7056,3958,2810,1043,663,164,509785,356728,153057,318783,191002,12944,457600,30196,9045,41587,45664,52661,85970,72658,104898,106347,36.7,6.8,19.3,157.9,153.0,4.9,3389.0,3315.0,74.0,5517.0
금융및보험업,41609,35909,5700,10154,31455,11623,10270,10731,6991,1456,391,147,707246,326765,380481,70423,636823,5799,433276,18249,249922,26550,71568,141168,217378,92584,60164,97834,38.2,10.4,19.0,156.0,150.9,5.1,3602.0,3491.0,111.0,14099.0
부동산업시설관리지원임대,179587,124194,55393,163108,16479,139885,19956,9825,6093,1818,1416,594,1404687,801789,602898,889710,514977,131315,1030095,181422,61855,241855,128232,129972,181765,125146,236417,361300,43.7,4.6,20.1,178.6,166.8,11.8,2093.1,1942.5,150.6,2523.2
전문과학및기술서비스업,87868,76517,11351,75469,12399,56126,18556,7035,3977,1231,656,287,865241,599420,265821,427448,437793,58384,767075,33500,6282,122049,116975,92131,118192,84989,105097,225808,38.1,6.5,19.4,158.5,154.2,4.3,3423.0,3351.0,73.0,5940.0
교육서비스업,173740,80399,93341,163902,9838,131248,18666,9032,7306,6101,1142,245,1498539,567376,931163,1079221,419318,152370,1015304,224317,106548,233110,118846,121820,226125,431760,146594,220284,41.6,8.2,19.1,154.3,149.7,4.6,3056.0,3002.0,55.0,3392.0
보건업및사회복지서비스업,127925,70023,57902,120176,7749,61759,40843,15247,6466,2313,1086,211,1367805,285551,1082254,1012490,355315,105450,1117515,117988,26852,186290,255350,198688,195429,160308,166118,205622,38.9,4.7,21.0,170.9,162.2,8.7,2334.0,2214.0,121.0,2825.0
오락문화및운동관련서비스업,104222,59699,44523,102327,1895,94015,6395,1985,1139,337,321,30,359129,191716,167413,298682,60447,119286,124791,87370,27682,164673,39834,26003,34149,23663,49419,21388,38.9,5.2,21.1,175.2,160.4,14.8,2249.0,2049.0,200.0,3082.0
기타공공수리및개인서비스업,385672,216023,169649,374174,11498,358456,17240,6445,2889,496,135,11,857978,443696,414282,768179,89799,323283,397110,85514,52071,523306,108702,84361,83633,33022,19057,5897,42.3,5.0,21.6,173.6,166.4,7.2,2141.0,2051.0,91.0,2866.0
