inderstryType,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
전체,4312810,2656356,1656454,4015972,296838,3585467,420017,167587,91432,30298,14283,3726,20763981,11749100,9014881,13886519,6877462,3906292,13634662,2561143,661884,5695857,2687936,2213296,2721223,2085681,2247036,3112952,42.9,6.8,21.7,176.7,167.7,9.0,3318.0,3118.0,200.0,5268.0
농업임업및어업,5948,4940,1008,4842,1106,3573,1241,625,388,85,34,2,47481,34797,12684,29678,17803,0,35299,9980,2202,7074,8239,8327,11804,5735,4797,1505,45.4,8.9,22.2,175.0,169.6,5.4,2912.0,2825.0,86.0,6172.0
광업,1654,1415,239,1434,220,1084,230,165,149,20,4,2,13838,12112,1726,8074,5764,1552,11488,702,96,2218,1558,2330,4373,1281,632,1446,51.6,8.3,23.3,199.8,177.9,21.8,3758.0,3295.0,463.0,5160.0
제조업,453257,352698,100559,421732,31525,306409,77438,35443,23710,6180,3360,717,3984905,2956335,1028570,2394910,1589995,392581,3354402,213247,24675,596293,511705,475726,707275,424742,536685,732479,42.5,8.0,21.9,186.4,169.9,16.5,3350.0,3003.0,347.0,6720.0
전기가스수도하수,14076,11355,2721,11351,2725,8308,2264,1425,1348,507,185,39,184248,153191,31057,87514,96734,5821,169878,7881,668,14882,14799,19503,42541,34749,29026,28748,44.8,9.9,22.2,186.0,173.7,12.3,4103.7,3761.2,342.5,9738.2
건설업,158401,125380,33021,148895,9506,105323,28709,13650,7025,2104,1187,403,1431792,1222424,209368,1039476,392316,94249,676950,639490,21103,190847,186916,181267,208121,142645,191004,330992,45.5,5.8,22.1,178.9,172.6,6.3,3576.0,3421.0,154.0,2822.0
도매및소매업,1064434,629883,434551,980195,84239,947733,80003,24336,9273,1924,979,186,2962630,1642480,1320150,2184443,778187,1006589,1552996,323236,79809,1484928,501106,315372,263052,129990,150869,117313,41.2,6.2,21.9,175.6,170.9,4.7,3368.0,3272.0,96.0,4337.0
운수및창고업,420889,389516,31373,407854,13035,400728,7944,5219,3995,1698,1129,176,1091939,941923,150016,738348,353591,393223,593317,46658,58741,429329,51726,70141,122074,119065,177691,121913,48.5,7.6,21.5,174.9,161.6,13.3,3018.0,2719.0,300.0,4703.0
숙박및음식점업,829555,343952,485603,800184,29371,744753,67598,13688,2922,439,119,36,2023871,780735,1243136,1778616,245255,1033003,563175,418622,9071,1286079,417365,171780,82066,27617,19164,19800,41.5,3.3,21.4,170.8,162.9,8.0,2214.0,2086.0,129.0,958.0
정보통신업,49435,39878,9557,43460,5975,31587,8098,4594,3073,1096,782,205,620982,425088,195894,364455,256527,17302,565891,27690,10099,58846,52390,61339,91684,76194,130512,150017,38.1,6.9,21.8,178.0,172.4,5.6,4105.0,3957.0,148.0,5436.0
금융및보험업,43242,35576,7666,13572,29670,16566,10137,9163,5297,1469,447,163,680970,298304,382666,69518,611452,6868,466462,14981,192659,33284,69302,120671,162993,95908,69213,129599,40.4,12.0,21.7,177.0,172.0,5.0,4618.0,4489.0,129.0,17589.0
부동산업시설관리지원임대,254614,165252,89362,228264,26350,211339,23549,10115,5709,1799,1448,655,1619169,927005,692164,922543,696626,167757,1191128,204681,55603,318738,151182,133761,168185,123263,241879,482161,45.4,5.5,21.2,175.6,169.6,6.0,2796.3,2663.8,132.4,2880.5
전문과학및기술서비스업,129778,105937,23841,110393,19385,90442,22406,9194,4894,1534,936,372,1159853,768333,391520,551000,608853,78469,999813,73848,7723,171614,142040,121462,144548,105183,153132,321874,40.3,7.5,21.6,176.4,171.5,4.9,4242.0,4069.0,173.0,8300.0
교육서비스업,191529,81405,110124,179229,12300,147230,19960,8700,7814,6316,1225,284,1579773,554037,1025736,1138907,440866,163119,1167653,172776,76225,250562,125864,117650,241661,448333,156792,238911,43.7,7.6,20.2,155.2,152.6,2.7,3425.0,3377.0,48.0,3172.0
보건업및사회복지서비스업,149351,84145,65206,137352,11999,58727,48617,23252,12097,4275,1949,434,2156232,407218,1749014,1564042,592190,77880,1743232,282257,52863,165202,314794,308768,363422,292210,310381,401455,43.6,4.3,21.9,164.3,159.2,5.2,2705.0,2586.0,119.0,2059.0
오락문화및운동관련서비스업,123249,70504,52745,118690,4559,111312,7551,2368,1260,396,325,37,380824,199274,181550,300855,79969,124553,162946,66188,27137,162799,47600,30927,37242,27642,50147,24467,42.3,6.1,21.3,171.0,163.3,7.7,2796.0,2633.0,162.0,2543.0
기타공공수리및개인서비스업,423398,214520,208878,408525,14873,400353,14272,5650,2478,456,174,15,825474,425844,399630,714140,111334,343326,380032,58906,43210,523162,91350,74272,70182,31124,25112,10272,44.0,6.1,22.3,176.2,171.6,4.6,2794.0,2697.0,96.0,3256.0
