inderstryType,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
전체,3861792,2408513,1453279,3637505,224287,3123766,432441,164312,93781,30208,13989,3295,20201270,11632748,8568522,14080036,6121234,3874957,12829368,2532993,963952,5598578,2758760,2171164,2801956,2070796,2181191,2618825,41.1,6.2,22.4,184.2,175.2,9.0,2820.0,2607.0,212.0,5389.0
농업임업및어업,3289,2846,443,2590,699,1298,931,531,418,84,25,2,39490,29262,10228,25560,13930,0,28209,8139,3142,2928,6216,7200,12685,5896,3369,1196,45.1,8.5,23.1,184.8,180.7,4.1,2669.0,2593.0,76.0,6210.0
광업,2006,1788,218,1826,180,1373,277,176,149,25,3,3,15663,13599,2064,10394,5269,2091,12383,939,250,3131,1859,2436,4203,1719,479,1836,49.2,8.3,23.5,197.3,180.9,16.4,3319.0,2971.0,348.0,5686.0
제조업,428643,343129,85514,405205,23438,275818,82843,34729,24125,6790,3614,724,4102259,3038999,1063260,2610251,1492008,403307,3418890,249586,30476,571410,550596,468612,725374,466210,566630,753427,40.4,6.9,22.9,194.1,175.4,18.7,2912.0,2537.0,375.0,7878.0
전기가스수도하수,9918,8493,1425,7873,2045,4525,2153,1306,1311,435,161,27,159347,135505,23842,81496,77851,3533,148130,6983,701,10579,14220,17851,40643,29385,25952,20717,44.2,10.3,22.3,181.9,174.9,7.0,3500.1,3197.7,302.3,7951.9
건설업,133797,110314,23483,127609,6188,80451,28210,14053,7648,1981,1131,323,1317337,1146643,170694,1051924,265413,83557,654524,542868,36388,170300,183116,186375,224942,134381,186435,231788,43.2,5.1,22.6,183.1,177.0,6.1,2900.0,2760.0,140.0,2844.0
도매및소매업,1015117,600360,414757,954958,60159,894582,82710,24520,10102,1973,1079,151,3129601,1697856,1431745,2399238,730363,1109066,1532779,314058,173698,1625889,514012,318658,286289,132178,166884,85691,39.3,5.1,22.6,184.4,180.0,4.4,2659.0,2538.0,121.0,4144.0
운수및창고업,379388,355532,23856,368536,10852,357537,8683,5287,4541,1839,1348,153,1096051,966195,129856,783371,312680,357656,611105,44203,83087,389963,57626,71408,138352,127679,210980,100043,46.9,7.7,22.2,183.4,172.4,10.9,2597.0,2313.0,283.0,4581.0
숙박및음식점업,710248,268831,441417,691552,18696,617466,73671,14329,3610,928,202,42,2114297,768741,1345556,1867874,246423,988567,573115,523689,28926,1264195,453810,180033,103374,62069,29591,21225,39.6,3.0,22.5,184.5,179.3,5.2,1800.0,1677.0,123.0,1228.0
정보통신업,42425,35398,7027,38240,4185,24415,8248,4618,3161,1138,687,158,562946,394715,168231,360377,202569,15099,504114,32613,11120,50535,53106,61626,96589,78335,111872,110883,36.6,6.0,22.0,176.9,174.3,2.7,3415.0,3317.0,98.0,4667.0
금융및보험업,42192,36240,5952,9943,32249,11540,11333,10090,7141,1537,398,153,745257,329905,415352,69448,675809,5290,446714,22434,270819,26166,78089,133241,223610,98034,63661,122456,38.7,10.9,21.8,174.9,174.0,0.9,3856.0,3746.0,109.0,14145.0
부동산업시설관리지원임대,197747,134657,63090,179593,18154,152719,23133,10583,6791,2193,1622,706,1591993,910853,681140,999209,592784,141850,1172469,204262,73412,266269,148972,139849,202635,150683,269738,413847,44.9,4.5,21.8,186.2,179.7,6.5,2270.4,2133.3,137.1,2538.1
전문과학및기술서비스업,102866,88173,14693,89032,13834,65967,21538,8377,4583,1333,771,297,998123,683552,314571,503285,494838,65724,877315,43573,11511,142398,136531,109933,135143,90318,125118,258682,38.5,6.6,22.0,177.5,174.6,2.8,3650.0,3517.0,133.0,6057.0
교육서비스업,175800,80284,95516,165815,9985,131431,19107,9539,8066,6176,1209,272,1563848,575435,988413,1122048,441800,154941,1065700,231147,112060,230956,121570,130231,248485,436279,156494,239833,42.0,7.8,21.1,165.1,163.9,1.1,3107.0,3057.0,50.0,3009.0
보건업및사회복지서비스업,132553,73361,59192,123397,9156,59613,44416,17139,7196,2703,1249,237,1503360,302053,1201307,1099174,404186,108121,1232111,128428,34700,177714,279970,224879,214492,185744,191444,229117,40.3,4.6,22.3,176.2,173.3,2.9,2323.0,2198.0,126.0,2350.0
오락문화및운동관련서비스업,101055,57332,43723,98615,2440,89630,7202,2259,1233,360,337,34,366766,192685,174081,301892,64874,115427,136717,81820,32802,156872,45008,29767,37014,25023,50981,22101,39.4,5.1,21.9,176.3,169.9,6.5,2306.0,2124.0,181.0,2639.0
기타공공수리및개인서비스업,384748,211775,172973,372721,12027,355401,17986,6776,3706,713,153,13,894932,446750,448182,794495,100437,320728,415093,98251,60860,509273,114059,89065,108126,46863,21563,5983,44.8,4.7,22.9,171.2,167.5,3.6,2074.0,1984.0,90.0,2345.0
