inderstryType,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
전체,3458120,2158375,1299745,3274845,183275,2877759,315122,145167,79807,25405,12008,2852,17456708,10157461,7299247,12257211,5199497,3621861,10773576,2234416,826855,5208145,2057005,1914121,2387458,1747463,1862613,2279903,39.6,6.1,22.2,189.3,173.4,15.9,2454.0,2268.0,186.0,5537.0
농업임업및어업,2363,2161,202,1815,548,886,573,479,326,73,25,1,31235,23366,7869,19643,11592,16,21899,6347,2973,2040,3978,6354,9416,5113,3541,793,43.5,8.7,22.1,178.7,174.6,4.1,2509.0,2466.0,43.0,6693.0
광업,1781,1603,178,1613,168,1209,217,203,125,20,3,4,15428,13469,1959,9775,5653,1989,12092,1168,179,2968,1470,2773,3628,1360,483,2746,46.9,8.2,23.4,203.4,176.9,26.5,2745.0,2390.0,356.0,5090.0
제조업,351346,286905,64441,332673,18673,228504,59617,31839,21385,6020,3335,646,3625989,2671263,954726,2250526,1375463,348311,3013600,249178,14900,473846,400745,427311,639381,413753,524591,746362,39.2,6.6,22.8,203.7,172.4,31.3,2352.0,2000.0,352.0,6903.0
전기가스수도하수,7505,6699,806,5814,1691,2988,1654,1188,1131,374,138,32,139480,119760,19720,70136,69344,2359,129570,6922,629,7513,11057,16380,34954,25470,22468,21638,42.7,10.0,22.3,189.8,174.2,15.6,3012.0,2766.5,245.0,9653.6
건설업,106059,91258,14801,100020,6039,61775,22203,12906,6239,1619,988,329,1117786,982166,135620,853892,263894,67522,575186,453625,21453,126128,148006,171072,183273,108958,155205,225144,41.5,4.8,22.3,181.5,175.0,6.6,2536.0,2454.0,82.0,3406.0
도매및소매업,901399,536012,365387,852411,48988,808705,60271,21300,8529,1614,845,135,2689305,1452492,1236813,2094076,595229,1044395,1189996,290358,164556,1475667,385303,277738,242044,111251,128977,68325,37.3,4.9,22.4,186.2,177.4,8.8,2389.0,2290.0,99.0,4483.0
운수및창고업,354142,336689,17453,344608,9534,335682,7095,4777,3654,1491,1286,157,998457,885895,112562,712348,286109,336823,542915,42184,76535,366509,46925,64140,110843,104034,204022,101984,44.3,7.2,22.2,189.4,172.5,16.9,2195.0,1988.0,207.0,5120.0
숙박및음식점업,654892,231624,423268,645239,9653,594565,45825,10927,2897,514,133,31,1834978,639475,1195503,1680139,154839,932091,418283,461402,23202,1245204,290604,137995,85170,34570,21450,19985,38.5,3.4,22.9,197.0,187.6,9.4,1653.0,1561.0,92.0,1774.0
정보통신업,29902,25513,4389,26054,3848,14844,6684,3862,2797,970,591,154,476412,339406,137006,297043,179369,10596,426689,28968,10159,34214,43784,51182,85948,67201,94889,99194,35.8,6.5,21.3,173.6,167.6,6.0,3171.0,3094.0,77.0,5792.0
금융및보험업,40814,35941,4873,9594,31220,10963,9646,11133,6935,1537,440,160,726870,331360,395510,70106,656764,5726,440125,21816,259203,25699,68101,146324,213383,98628,64982,109753,37.5,10.2,21.1,171.6,167.6,4.0,3344.0,3262.0,82.0,14513.0
부동산업시설관리지원임대,170505,119601,50904,155657,14848,133903,17882,9557,5777,1636,1248,502,1266197,736425,529772,857363,408834,130513,901673,171951,62060,231946,117077,126189,172326,112244,204936,301479,44.3,4.6,21.5,192.0,181.5,10.5,2021.4,1897.1,124.3,2986.6
전문과학및기술서비스업,76792,67770,9022,65993,10799,48076,16271,6732,3683,1082,701,247,788454,549445,239009,405009,383445,53246,686314,41753,7141,110350,104835,88834,109584,74914,115915,184022,37.4,5.9,21.3,174.0,167.8,6.1,3119.0,3031.0,88.0,5799.0
교육서비스업,170575,79220,91355,161199,9376,130179,16725,9257,7225,5902,1053,234,1438462,546550,891912,1052815,385647,151847,982976,208664,94975,234427,109033,124956,224881,415467,135163,194535,40.7,8.1,21.4,171.4,166.9,4.5,2981.0,2928.0,53.0,3509.0
보건업및사회복지서비스업,114578,65025,49553,108451,6127,61544,31679,13107,5444,1802,819,183,1159592,256538,903054,868991,290601,96540,952519,88735,21798,190488,204476,169452,165129,123903,124291,181853,37.4,4.2,22.3,180.7,172.9,7.8,2125.0,2024.0,101.0,3127.0
오락문화및운동관련서비스업,103675,60743,42932,102229,1446,95943,4533,1592,1003,301,275,28,332939,181530,151409,280940,51999,122149,111064,77663,22063,169532,28947,20963,30679,21049,42949,18820,38.1,5.0,22.1,183.1,169.9,13.2,2131.0,1965.0,166.0,3456.0
기타공공수리및개인서비스업,371792,211611,160181,361475,10317,347993,14247,6308,2657,450,128,9,815124,428321,386803,734409,80715,317738,368675,83682,45029,511614,92664,82458,76819,29548,18751,3270,41.5,4.9,22.9,183.3,177.5,5.8,1992.0,1920.0,72.0,3160.0
