inderstryType,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
전체,3281886,2060635,1221251,3117918,163968,2721867,317568,131893,72934,24001,11074,2549,16160266,9426361,6733905,11559656,4600610,3522625,9698921,2110593,828127,4877466,2021569,1742717,2182868,1638299,1735260,1962087,38.5,6.2,22.8,194.8,180.4,14.3,2270.0,2115.0,156.0,5281.0
농업임업및어업,2336,2175,161,1789,547,871,568,504,300,71,21,1,30238,23142,7096,19070,11168,55,20296,5983,3904,2003,3792,6695,8993,4923,2922,910,42.8,8.2,23.3,186.1,181.6,4.5,2332.0,2290.0,42.0,5894.0
광업,1817,1674,143,1620,197,1185,254,212,139,22,1,4,16571,14534,2037,9665,6906,1871,13332,1309,59,2756,1708,2973,4032,1472,0,3630,45.7,8.0,23.3,194.8,177.4,17.5,2472.0,2298.0,174.0,5141.0
제조업,328565,270534,58031,309549,19016,211366,59163,30167,19037,5249,3009,574,3262933,2397865,865068,1997345,1265588,336458,2639355,274359,12761,431441,392259,404545,571604,359557,472509,631018,38.0,6.6,23.2,202.7,178.1,24.5,2163.0,1908.0,255.0,6099.0
전기가스수도하수,6593,5937,656,5028,1565,2359,1580,1060,1044,376,144,30,134599,116656,17943,68546,66053,1967,123767,7958,907,6046,10582,14659,32532,25878,23720,21182,42.0,9.8,22.9,194.3,178.6,15.7,2855.1,2616.5,238.5,8974.5
건설업,97391,85693,11698,89132,8259,56321,20642,11874,6236,1384,763,171,902802,787197,115605,679755,223047,65608,506706,313743,16745,114228,136261,158303,182229,91994,123214,96573,40.3,4.9,23.1,189.8,183.3,6.5,2289.0,2210.0,79.0,3170.0
도매및소매업,858619,516649,341970,812800,45819,765578,62517,19594,8104,1691,959,176,2618346,1428754,1189592,2000987,617359,1027863,1106565,309354,174564,1389597,389446,255294,228925,114258,149573,91253,36.6,5.4,23.1,192.2,185.5,6.7,2216.0,2151.0,65.0,4421.0
운수및창고업,343986,328725,15261,334443,9543,325611,7530,4441,3330,1604,1311,159,976105,878538,97567,712811,263294,328443,551228,44157,52277,354559,48871,59687,101457,111914,210033,89584,44.6,6.8,22.4,201.0,177.6,23.3,1958.0,1690.0,268.0,4396.0
숙박및음식점업,628624,215104,413520,621104,7520,565444,50744,9188,2571,518,123,36,1755201,590547,1164654,1611919,143282,901318,363774,455516,34593,1174874,307623,116645,74815,34699,19381,27164,37.5,3.3,23.8,206.2,196.6,9.6,1564.0,1484.0,80.0,1646.0
정보통신업,24306,20896,3410,20305,4001,11226,5629,3225,2547,948,590,141,432928,309066,123862,260557,172371,8628,385045,31841,7414,27474,36274,43129,77123,65408,93419,90101,36.4,7.7,22.3,182.7,174.9,7.8,2942.0,2840.0,103.0,6445.0
금융및보험업,38408,34086,4322,9774,28634,10034,9215,10329,6685,1596,405,144,692071,328390,363681,76831,615240,5755,411016,19321,255979,23447,64526,136554,205782,102232,63266,96264,36.7,10.3,21.9,178.5,173.8,4.6,3011.0,2922.0,90.0,13648.0
부동산업시설관리지원임대,160314,114438,45876,146805,13509,126871,16601,8579,5170,1501,1133,459,1156852,683843,473009,785849,371003,127937,798577,163735,66603,216428,107265,113590,153183,103047,188481,274858,41.0,4.7,21.6,202.3,190.2,12.1,1933.6,1815.7,117.9,3653.9
전문과학및기술서비스업,67721,60525,7196,58348,9373,41064,15564,5798,3292,1085,673,245,732048,513475,218573,382444,349604,49577,638603,36685,7183,96054,97684,76232,98034,74739,111670,177635,36.6,5.4,22.2,181.1,175.7,5.4,2944.0,2874.0,70.0,4892.0
교육서비스업,162601,75163,87438,156406,6195,121770,17953,8938,7153,5697,886,204,1363740,526394,837346,1154032,209708,148713,899907,213532,101588,219092,114098,120944,225573,394801,115058,174174,40.5,7.6,22.2,177.6,172.6,5.0,2707.0,2655.0,53.0,3294.0
보건업및사회복지서비스업,99899,59612,40287,97447,2452,52678,29899,10821,4169,1525,632,175,981216,230032,751184,807622,173594,82696,801711,74701,22108,159431,187665,140039,126138,103953,96207,167783,35.7,4.7,23.0,190.0,181.7,8.4,2009.0,1914.0,94.0,3960.0
오락문화및운동관련서비스업,101955,60347,41608,100775,1180,94729,4400,1362,852,291,298,23,321267,178006,143261,273183,48084,123691,98365,76086,23125,166806,27105,18022,25691,20131,47582,15930,37.6,4.7,21.5,185.5,172.9,12.6,1957.0,1807.0,150.0,4027.0
기타공공수리및개인서비스업,358751,209077,149674,352593,6158,334760,15309,5801,2305,443,126,7,783349,419922,363427,719040,64309,312045,340674,82313,48317,493230,96410,75406,66757,29293,18016,4237,38.9,5.1,23.8,195.3,190.4,4.8,1904.0,1846.0,58.0,3013.0
