inderstryType,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
전체,3937715,2441613,1496102,3702340,235375,3171358,453225,172689,93084,29870,14059,3430,20567856,11732178,8835678,14371441,6196415,3889038,13062358,2652481,963979,5701978,2889232,2278120,2776343,2043741,2186355,2692087,41.5,6.4,21.7,182.0,169.0,13.0,2892.0,2686.0,207.0,5508.0
농업임업및어업,3627,3119,508,2887,740,1597,1007,542,367,84,28,2,39650,28664,10986,25146,14504,0,29108,8039,2503,3650,6609,7217,11141,5907,3806,1320,45.2,8.3,22.4,181.5,175.4,6.1,2746.0,2659.0,87.0,6437.0
광업,2012,1795,217,1831,181,1397,256,171,158,24,3,3,15861,13780,2081,10484,5377,2078,12832,769,182,3113,1767,2408,4573,1680,486,1834,49.8,8.3,23.0,194.0,175.3,18.7,3395.0,3116.0,279.0,5286.0
제조업,430948,343894,87054,406634,24314,275391,87151,32669,24580,6895,3569,693,4097338,3030512,1066826,2612292,1485046,414816,3419747,238774,24001,579303,581319,445263,736538,472893,564788,717234,40.7,7.0,22.2,193.3,169.7,23.7,2984.0,2618.0,366.0,7544.0
전기가스수도하수,10105,8615,1490,8024,2081,4708,2137,1337,1293,455,144,31,161266,135852,25414,81298,79968,3671,149911,7168,516,11172,14087,18146,40246,31113,23606,22896,44.5,10.4,22.0,186.3,172.9,13.5,3622.6,3312.3,309.9,9855.2
건설업,137220,112614,24606,131174,6046,75540,31600,19528,7184,1776,1212,380,1392554,1196280,196274,1140183,252371,89521,660201,599333,43499,159358,199388,253951,209468,119358,191912,259119,43.5,5.3,21.9,180.2,171.5,8.6,3050.0,2890.0,160.0,2876.0
도매및소매업,1017340,599707,417633,950548,66792,894254,84859,24985,10027,1987,1065,163,3141900,1686836,1455064,2390012,751888,1061246,1574964,328084,177606,1619584,528033,325897,285466,133793,161972,87155,39.9,5.5,21.9,180.8,173.0,7.8,2722.0,2608.0,114.0,4250.0
운수및창고업,385968,361231,24737,374977,10991,362558,9272,6402,4338,1868,1387,143,1111060,965557,145503,807631,303429,364549,599574,56454,90483,395298,61183,85376,132612,129256,214766,92569,47.6,8.1,21.9,184.3,167.3,17.0,2679.0,2393.0,286.0,4745.0
숙박및음식점업,729175,279036,450139,708981,20194,633168,76725,14675,3499,902,168,38,2162823,785450,1377373,1909896,252927,979655,600540,553944,28684,1304871,469909,183731,99384,58677,25707,20544,40.3,3.0,22.5,189.1,177.7,11.4,1884.0,1746.0,139.0,1039.0
정보통신업,42539,35325,7214,38361,4178,24271,8521,4723,3070,1056,737,161,567284,394306,172978,360488,206796,15427,502998,37793,11066,50772,54933,62599,93361,72232,118428,114959,37.0,6.4,21.0,171.4,166.4,5.0,3494.0,3398.0,95.0,5488.0
금융및보험업,42809,36292,6517,10867,31942,11949,10993,10779,7111,1420,407,150,730963,326781,404182,75377,655586,5971,439754,18113,267125,27206,75645,142390,218994,91021,64120,111587,39.0,11.0,20.9,171.1,166.2,5.0,4092.0,3974.0,118.0,16622.0
부동산업시설관리지원임대,210698,141465,69233,192018,18680,165571,23662,10752,6384,2051,1516,762,1650942,931677,719265,994598,656344,154856,1230540,195031,70515,289588,151835,142317,189853,140506,251532,485311,44.8,4.8,21.0,181.5,172.1,9.4,2388.1,2244.4,143.7,2566.1
전문과학및기술서비스업,103223,88163,15060,89032,14191,66028,21699,8692,4395,1298,796,315,1002371,674192,328179,506854,495517,67795,870821,56404,7351,142605,140737,112733,129172,88412,127615,261097,39.2,7.0,21.1,173.0,166.7,6.3,3659.0,3557.0,102.0,8030.0
교육서비스업,180595,80762,99833,170054,10541,135861,19364,9577,8286,6093,1139,275,1559558,578898,980660,1121239,438319,154661,1065929,224278,114690,236296,123021,130420,257084,428114,147942,236681,42.3,7.9,20.7,164.8,160.3,4.5,3200.0,3138.0,62.0,2587.0
보건업및사회복지서비스업,141372,77014,64358,131734,9638,60250,48609,19211,8552,3102,1379,269,1674556,329990,1344566,1241660,432896,114895,1351052,160961,47648,178621,308173,252417,256766,211817,214353,252409,40.9,4.8,21.7,173.3,165.9,7.4,2354.0,2229.0,125.0,2278.0
오락문화및운동관련서비스업,110230,62646,47584,107531,2699,97354,8617,2294,1197,382,350,36,394913,206305,188608,326750,68163,127604,141315,92760,33234,173162,53918,30167,35627,26651,52434,22954,40.8,5.4,21.9,178.7,168.8,9.9,2451.0,2284.0,167.0,2062.0
기타공공수리및개인서비스업,389854,209935,179919,377687,12167,361461,18753,6352,2643,477,159,9,864817,447098,417719,767533,97284,332293,413072,74576,44876,527379,118675,83088,76058,32311,22888,4418,44.8,4.9,22.0,167.1,160.7,6.4,2158.0,2066.0,92.0,2526.0
