inderstryType,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
전체,4163979,2557090,1606889,3887458,276521,3321119,509936,184719,98984,31196,14425,3600,21954539,12365878,9588661,15051032,6903507,4061181,13987821,2929046,976491,6038069,3228868,2425196,2941373,2140125,2266180,2914728,42.6,6.7,19.9,163.6,153.1,10.5,3259.0,3042.0,216.0,5537.0
농업임업및어업,4522,3856,666,3570,952,2355,1103,567,375,87,32,3,43920,31887,12033,26524,17396,0,33955,6625,3340,5119,7322,7418,11213,6257,4809,1782,45.0,8.2,20.7,165.1,161.0,4.0,2897.0,2832.0,65.0,6114.0
광업,1776,1562,214,1553,223,1196,205,185,160,24,3,3,14887,12859,2028,8935,5952,1595,12192,907,193,2519,1389,2555,4677,1596,560,1591,51.4,8.6,22.3,186.8,166.1,20.8,3783.0,3363.0,420.0,5725.0
제조업,440766,346835,93931,409579,31187,277958,92913,34026,25095,6695,3395,684,4123817,3070642,1053175,2535170,1588647,392661,3443010,262074,26072,584984,624885,454369,749185,457607,539547,713240,42.1,7.7,20.3,174.6,155.0,19.6,3342.0,2945.0,397.0,7509.0
전기가스수도하수,12542,10318,2224,10022,2520,6639,2261,1517,1427,486,173,39,181611,152133,29478,87631,93980,4340,170457,6246,568,13338,14678,20455,45234,33380,27274,27252,44.4,10.3,20.3,168.9,158.6,10.4,4027.3,3738.5,288.9,9080.2
건설업,146293,117387,28906,138612,7681,73904,40652,20326,8024,1849,1166,372,1504466,1292984,211482,1187288,317178,92818,667073,688344,56231,167350,267421,265646,231185,124291,188879,259694,45.4,5.7,19.8,161.4,153.8,7.6,3402.0,3222.0,180.0,2841.0
도매및소매업,1028323,603098,425225,953382,74941,892382,94813,26949,10928,2106,981,164,3289652,1752262,1537390,2467485,822167,1084229,1676672,364072,164679,1651276,586164,350225,313045,142570,150439,95933,41.1,5.7,20.2,162.8,156.9,5.9,3225.0,3116.0,109.0,4351.0
운수및창고업,409288,380369,28919,396942,12346,385367,9510,6343,4679,1914,1322,153,1155965,999530,156435,800646,355319,382533,598395,59736,115301,423315,61597,84746,142124,132783,203501,107899,48.4,8.2,20.5,163.1,150.1,13.0,2978.0,2703.0,275.0,4979.0
숙박및음식점업,785706,315323,470383,760302,25404,668943,94479,17880,3620,595,144,45,2384828,893742,1491086,2106763,278065,1075239,705039,587012,17538,1416720,560240,220001,102032,37777,23087,24971,42.7,3.4,21.6,175.3,165.4,9.9,2260.0,2101.0,159.0,956.0
정보통신업,45303,36894,8409,40102,5201,27911,7843,4315,3114,1162,755,203,606964,416537,190427,359020,247944,15239,551663,29569,10493,56306,50461,58137,94009,79792,123270,144989,37.3,6.6,19.1,156.9,150.9,6.0,4021.0,3863.0,158.0,5888.0
금융및보험업,43555,35626,7929,12800,30755,14822,10682,10003,5944,1495,440,169,715399,316942,398457,78346,637053,6379,466835,16190,225995,33618,73027,133222,184138,96239,69000,126155,40.2,11.6,19.0,154.4,150.3,4.1,4418.0,4297.0,121.0,18101.0
부동산업시설관리지원임대,241763,158587,83176,217967,23796,192604,26880,11644,6431,1970,1538,696,1729877,983085,746792,991078,738799,166306,1276553,210716,76302,333974,169267,151914,190181,135581,261744,487216,45.0,5.0,19.3,161.9,154.5,7.3,2749.0,2611.5,137.5,2719.7
전문과학및기술서비스업,118129,98201,19928,100855,17274,77920,23672,8900,4892,1492,892,361,1132049,758472,373577,543944,588105,72260,999183,51973,8633,164089,147631,117738,143570,101881,145328,311812,39.7,6.9,19.1,156.6,151.4,5.2,4102.0,3979.0,123.0,8409.0
교육서비스업,193790,82756,111034,181401,12389,142862,24360,9880,8696,6495,1212,285,1672443,604163,1068280,1212670,459773,167294,1140790,245560,118799,261545,153109,134839,267030,460209,157652,238059,43.6,8.6,18.3,143.7,139.9,3.7,3582.0,3522.0,61.0,3381.0
보건업및사회복지서비스업,150659,81755,68904,138805,11854,60091,50501,22646,11298,3935,1819,369,2033034,386832,1646202,1482838,550196,113295,1630506,219909,69324,172245,323533,300031,339495,268925,288672,340133,42.7,4.6,19.9,154.3,148.3,6.1,2680.0,2548.0,132.0,2235.0
오락문화및운동관련서비스업,124621,70752,53869,120449,4172,108189,11183,2935,1456,437,378,43,458555,236176,222379,370509,88046,135040,182072,102511,38932,191605,69494,37901,43046,30953,57255,28301,41.7,5.6,20.4,164.6,155.7,8.9,2844.0,2650.0,195.0,2770.0
기타공공수리및개인서비스업,416943,213771,203172,401117,15826,387976,18879,6603,2845,454,175,11,907072,457632,449440,792185,114887,351953,433426,77602,44091,560066,118650,85999,81209,30284,25163,5701,45.1,5.4,20.5,158.0,152.2,5.8,2613.0,2502.0,111.0,2701.0
