inderstryType,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
전체,4090651,2515274,1575377,3831036,259615,3272417,489710,183405,97210,30193,14171,3545,21500210,12121257,9378953,14869869,6630341,4007864,13701689,2823655,967002,5875121,3146787,2411717,2888928,2061931,2212182,2903544,42.0,6.5,20.2,167.5,155.7,11.8,3137.0,2911.0,225.0,5475.0
농업임업및어업,4261,3640,621,3447,814,2115,1099,556,381,75,32,3,42324,30382,11942,27628,14696,0,32453,6922,2949,4720,7224,7557,11422,5291,4477,1633,44.6,7.7,21.3,169.8,165.2,4.6,2853.0,2777.0,76.0,5875.0
광업,1916,1706,210,1717,199,1336,255,137,161,20,3,4,14998,12927,2071,9379,5619,1864,12186,837,111,2777,1781,1986,4754,1354,373,1973,51.0,8.3,22.5,187.7,166.9,20.7,3716.0,3308.0,408.0,5548.0
제조업,437024,345690,91334,409504,27520,276695,91203,33700,24585,6823,3343,675,4105871,3048514,1057357,2583550,1522321,389554,3430196,264291,21830,578742,620610,455332,733081,467925,529992,720189,41.6,7.3,20.8,179.9,157.4,22.5,3217.0,2806.0,411.0,7608.0
전기가스수도하수,11315,9421,1894,9061,2254,5609,2278,1411,1357,453,170,37,172972,145280,27692,85989,86983,3988,162172,6334,478,12285,14926,19224,43106,30623,27268,25540,44.5,10.4,20.5,172.7,160.1,12.6,3936.5,3598.5,338.0,9218.0
건설업,142840,115489,27351,135714,7126,78121,33435,19689,8149,1859,1210,377,1481673,1273953,207720,1187526,294147,91623,664479,668339,57232,179504,219613,257551,235165,123276,195085,271479,44.5,5.5,20.2,165.5,158.0,7.5,3342.0,3156.0,186.0,2937.0
도매및소매업,1027109,601495,425614,954514,72595,893541,93259,26692,10394,2053,1008,162,3250867,1719231,1531636,2444287,806580,1081512,1664431,343463,161461,1624686,581971,346971,296282,138196,154947,107814,40.5,5.4,20.6,166.6,160.2,6.4,3082.0,2967.0,116.0,4024.0
운수및창고업,400282,373243,27039,388651,11631,375916,10048,6280,4648,1839,1390,161,1145752,991823,153929,803544,342208,374654,597978,59505,113615,407047,65839,83883,141780,124508,209905,112790,48.2,8.2,20.8,167.6,152.0,15.6,2895.0,2582.0,313.0,4753.0
숙박및음식점업,766315,302073,464242,742625,23690,656577,87580,17634,3749,581,148,46,2326716,857592,1469124,2051900,274816,1051690,678868,577111,19047,1372738,540034,220541,107588,37525,23663,24627,41.0,3.0,21.4,174.5,164.3,10.2,2084.0,1929.0,155.0,968.0
정보통신업,43888,36056,7832,39141,4747,25787,8259,4653,3171,1084,748,186,599006,412243,186763,368204,230802,15052,543782,29916,10256,52253,53431,61655,95556,75110,123062,137939,37.1,6.6,19.2,158.7,151.3,7.4,3890.0,3710.0,180.0,5629.0
금융및보험업,43568,36008,7560,12257,31311,13843,10824,10505,6442,1347,447,160,711494,313206,398288,77655,633839,6169,450329,16929,238067,30346,74410,138461,196676,86252,68336,117013,39.8,11.8,18.9,155.1,150.6,4.5,4227.0,4099.0,128.0,17167.0
부동산업시설관리지원임대,230694,151667,79027,210614,20080,184245,24635,11168,6411,1942,1572,721,1708577,957217,751360,969394,739183,165516,1281834,193260,67967,308470,158112,147254,189043,133056,264682,507960,43.9,4.8,19.6,164.8,156.4,8.4,2628.7,2491.3,137.4,2414.8
전문과학및기술서비스업,112302,94618,17684,96301,16001,72764,23399,8998,4637,1337,822,345,1075234,723633,351601,528511,546723,69830,949151,47810,8443,152307,149854,117263,136485,90806,132681,295838,39.2,6.7,19.3,157.2,152.9,4.3,3929.0,3817.0,111.0,8390.0
교육서비스업,189800,82558,107242,178266,11534,139456,23826,10320,8515,6256,1142,285,1630311,595618,1034693,1187038,443273,164451,1106913,237969,120978,251217,151812,138673,263651,437771,146028,241159,43.3,8.5,19.0,150.1,146.6,3.5,3469.0,3413.0,57.0,3582.0
보건업및사회복지서비스업,147452,79586,67866,136721,10731,58938,50392,22252,10323,3623,1592,332,1902052,361606,1540446,1404549,497503,113726,1527673,197393,63260,171115,322442,292768,310808,248992,250915,305012,42.0,4.6,20.2,158.9,152.5,6.4,2584.0,2457.0,127.0,2218.0
오락문화및운동관련서비스업,121639,68940,52699,118120,3519,106109,10480,2823,1386,430,370,41,442046,228077,213969,361232,80814,133631,170625,100242,37548,184549,65866,36846,40945,30144,56113,27583,41.2,5.3,20.5,166.5,156.2,10.3,2738.0,2542.0,196.0,2477.0
기타공공수리및개인서비스업,410246,213084,197162,394383,15863,381365,18738,6587,2901,471,174,10,890317,449955,440362,779483,110834,344604,428619,73334,43760,542365,118862,85752,82586,31102,24655,4995,44.8,5.2,21.0,161.3,155.1,6.2,2487.0,2378.0,110.0,2593.0
