산업분류,종사자 합,남,여
전체,21583421,12255997,9327424
농업임업및어업,47481,34797,12684
광업,13838,12112,1726
제조업,3984905,2956335,1028570
전기가스증기및공기조절공급업,69138,57187,11951
수도하수및폐기물처리원료재생업,115110,96004,19106
건설업,1431792,1222424,209368
도매및소매업,2962630,1642480,1320150
운수및창고업,1091939,941923,150016
숙박및음식점업,2023871,780735,1243136
정보통신업,620982,425088,195894
금융및보험업,680970,298304,382666
부동산업,510503,320739,189764
전문과학및기술서비스업,1159853,768333,391520
사업시설관리사업지원및임대서비스업,1108666,606266,502400
공공행정국방및사회보장행정,819440,506897,312543
교육서비스업,1579773,554037,1025736
보건업및사회복지서비스업,2156232,407218,1749014
예술스포츠및여가관련서비스업,380824,199274,181550
협회및단체수리및기타개인서비스업,825474,425844,399630
