산업분류,종사자합,종사자남,종사자여
전체,18093127,10609183,7483944
농업임업및어업,31235,23366,7869
광업,15428,13469,1959
제조업,3625989,2671263,954726
전기가스증기및공기조절공급업,51676,45081,6595
수도하수및폐기물처리원료재생업,87804,74679,13125
건설업,1117786,982166,135620
도매및소매업,2689305,1452492,1236813
운수및창고업,998457,885895,112562
숙박및음식점업,1834978,639475,1195503
정보통신업,476412,339406,137006
금융및보험업,726870,331360,395510
부동산업,417280,275177,142103
전문과학및기술서비스업,788454,549445,239009
사업시설관리사업지원및임대서비스업,848917,461248,387669
공공행정국방및사회보장행정,636419,451722,184697
교육서비스업,1438462,546550,891912
보건업및사회복지서비스업,1159592,256538,903054
예술스포츠및여가관련서비스업,332939,181530,151409
협회및단체수리및기타개인서비스업,815124,428321,386803
