산업분류,종사자 합,남,여
전체,22723272,12854045,9869227
농업임업및어업,43920,31887,12033
광업,14887,12859,2028
제조업,4123817,3070642,1053175
전기가스증기및공기조절공급업,67526,56390,11136
수도하수및폐기물처리원료재생업,114085,95743,18342
건설업,1504466,1292984,211482
도매및소매업,3289652,1752262,1537390
운수및창고업,1155965,999530,156435
숙박및음식점업,2384828,893742,1491086
정보통신업,606964,416537,190427
금융및보험업,715399,316942,398457
부동산업,537841,339655,198186
전문과학및기술서비스업,1132049,758472,373577
사업시설관리사업지원및임대서비스업,1192036,643430,548606
공공행정국방및사회보장행정,768733,488167,280566
교육서비스업,1672443,604163,1068280
보건업및사회복지서비스업,2033034,386832,1646202
예술스포츠및여가관련서비스업,458555,236176,222379
협회및단체수리및기타개인서비스업,907072,457632,449440
