산업분류,종사자합,종사자남,종사자여
전체,20889239,12097073,8792166
농업임업및어업,39490,29262,10228
광업,15663,13599,2064
제조업,4102259,3038999,1063260
전기가스증기및공기조절공급업,57364,49557,7807
수도하수및폐기물처리원료재생업,101983,85948,16035
건설업,1317337,1146643,170694
도매및소매업,3129601,1697856,1431745
운수및창고업,1096051,966195,129856
숙박및음식점업,2114297,768741,1345556
정보통신업,562946,394715,168231
금융및보험업,745257,329905,415352
부동산업,464340,301146,163194
전문과학및기술서비스업,998123,683552,314571
사업시설관리사업지원및임대서비스업,1127653,609707,517946
공공행정국방및사회보장행정,687969,464325,223644
교육서비스업,1563848,575435,988413
보건업및사회복지서비스업,1503360,302053,1201307
예술스포츠및여가관련서비스업,366766,192685,174081
협회및단체수리및기타개인서비스업,894932,446750,448182
