산업분류,종사자수,자영업자무급가족,상용종사자,일용근로자,기타종사자
전체,21626904,3947956,13944003,2763785,971160
농업임업및어업,40642,0,31448,6792,2402
광업,15421,2082,12388,858,93
제조업,4103986,401387,3414156,267111,21332
전기가스증기및공기조절공급업,61185,520,59725,850,90
수도하수및폐기물처리원료재생업,103413,3187,94749,4866,611
건설업,1438640,90365,654817,639529,53929
도매및소매업,3173320,1073730,1615736,327318,156536
운수및창고업,1115990,363799,586668,59866,105657
숙박및음식점업,2214879,1027916,621240,545007,20716
정보통신업,575886,14646,516917,33752,10571
금융및보험업,726907,6139,440339,15397,265032
부동산업,504790,118020,331115,28915,26740
전문과학및기술서비스업,1010154,65805,884347,51967,8035
사업시설관리사업지원및임대서비스업,1168096,39476,933129,158660,36831
공공행정국방및사회보장행정,706780,0,641541,62504,2735
교육서비스업,1596963,158690,1092951,220779,124543
보건업및사회복지서비스업,1782672,116604,1440709,171392,53967
예술스포츠및여가관련서비스업,416781,131296,152340,97854,35291
협회및단체수리및기타개인서비스업,870399,334294,419688,70368,46049
