산업분류,종사자 수,자영업자무급가족,상용종사자,일용근로자,기타종사자
전체,19899697,3799039,12810356,2398343,891959
농업임업및어업,36034,3,25846,6981,3204
광업,15642,1972,12409,1130,131
제조업,3981938,380361,3341542,241625,18410
전기가스증기및공기조절공급업,55388,127,54164,997,100
수도하수및폐기물처리원료재생업,99187,3082,90309,5256,540
건설업,1103794,79508,601555,389895,32836
도매및소매업,3007745,1084794,1449701,312973,160277
운수및창고업,1049058,356550,548421,42347,101740
숙박및음식점업,2067166,972474,508934,561202,24556
정보통신업,528102,14434,475993,28852,8823
금융및보험업,705824,5897,437366,18891,243670
부동산업,445495,99273,298719,25830,21673
전문과학및기술서비스업,930441,62205,829540,30997,7699
사업시설관리사업지원및임대서비스업,1025145,38751,787706,155604,43084
공공행정국방및사회보장행정,648966,0,585595,60529,2842
교육서비스업,1513769,152306,1025778,225056,110629
보건업및사회복지서비스업,1466397,107912,1202897,121302,34286
예술스포츠및여가관련서비스업,362955,116221,129363,86689,30682
협회및단체수리및기타개인서비스업,856651,323169,404518,82187,46777
