산업분류,종사자 수,자영업자무급가족,상용종사자,일용근로자,기타종사자
전체,20889239,3874957,13446901,2600972,966409
농업임업및어업,39490,0,28209,8139,3142
광업,15663,2091,12383,939,250
제조업,4102259,403307,3418890,249586,30476
전기가스증기및공기조절공급업,57364,181,56348,762,73
수도하수및폐기물처리원료재생업,101983,3352,91782,6221,628
건설업,1317337,83557,654524,542868,36388
도매및소매업,3129601,1109066,1532779,314058,173698
운수및창고업,1096051,357656,611105,44203,83087
숙박및음식점업,2114297,988567,573115,523689,28926
정보통신업,562946,15099,504114,32613,11120
금융및보험업,745257,5290,446714,22434,270819
부동산업,464340,102692,307290,29494,24864
전문과학및기술서비스업,998123,65724,877315,43573,11511
사업시설관리사업지원및임대서비스업,1127653,39158,865179,174768,48548
공공행정국방및사회보장행정,687969,0,617533,67979,2457
교육서비스업,1563848,154941,1065700,231147,112060
보건업및사회복지서비스업,1503360,108121,1232111,128428,34700
예술스포츠및여가관련서비스업,366766,115427,136717,81820,32802
협회및단체수리및기타개인서비스업,894932,320728,415093,98251,60860
