산업분류,종사자 수,자영업자무급가족,상용종사자,일용근로자,기타종사자
전체,21259126,3889038,13692035,2712028,966025
농업임업및어업,39650,0,29108,8039,2503
광업,15861,2078,12832,769,182
제조업,4097338,414816,3419747,238774,24001
전기가스증기및공기조절공급업,58688,284,57455,868,81
수도하수및폐기물처리원료재생업,102578,3387,92456,6300,435
건설업,1392554,89521,660201,599333,43499
도매및소매업,3141900,1061246,1574964,328084,177606
운수및창고업,1111060,364549,599574,56454,90483
숙박및음식점업,2162823,979655,600540,553944,28684
정보통신업,567284,15427,502998,37793,11066
금융및보험업,730963,5971,439754,18113,267125
부동산업,501974,114594,326949,32017,28414
전문과학및기술서비스업,1002371,67795,870821,56404,7351
사업시설관리사업지원및임대서비스업,1148968,40262,903591,163014,42101
공공행정국방및사회보장행정,691270,0,629677,59547,2046
교육서비스업,1559558,154661,1065929,224278,114690
보건업및사회복지서비스업,1674556,114895,1351052,160961,47648
예술스포츠및여가관련서비스업,394913,127604,141315,92760,33234
협회및단체수리및기타개인서비스업,864817,332293,413072,74576,44876
