산업분류,종사자수,자영업자무급가족,상용종사자,일용근로자,기타종사자
전체,18093127,3621863,11344756,2297372,829136
농업임업및어업,31235,16,21899,6347,2973
광업,15428,1989,12092,1168,179
제조업,3625989,348311,3013600,249178,14900
전기가스증기및공기조절공급업,51676,60,50733,822,61
수도하수및폐기물처리원료재생업,87804,2299,78837,6100,568
건설업,1117786,67522,575186,453625,21453
도매및소매업,2689305,1044395,1189996,290358,164556
운수및창고업,998457,336823,542915,42184,76535
숙박및음식점업,1834978,932091,418283,461402,23202
정보통신업,476412,10596,426689,28968,10159
금융및보험업,726870,5726,440125,21816,259203
부동산업,417280,97666,268556,30176,20882
전문과학및기술서비스업,788454,53246,686314,41753,7141
사업시설관리사업지원및임대서비스업,848917,32847,633117,141775,41178
공공행정국방및사회보장행정,636419,2,571180,62956,2281
교육서비스업,1438462,151847,982976,208664,94975
보건업및사회복지서비스업,1159592,96540,952519,88735,21798
예술스포츠및여가관련서비스업,332939,122149,111064,77663,22063
협회및단체수리및기타개인서비스업,815124,317738,368675,83682,45029
