산업분류,종사자 수,자영업자무급가족,상용종사자,일용근로자,기타종사자
전체,18569256,3705442,11580285,2412082,871447
농업임업및어업,30836,16,21584,6619,2617
광업,15473,1884,11939,1522,128
제조업,3718188,362172,3082231,256951,16834
전기가스증기및공기조절공급업,50506,101,49744,591,70
수도하수및폐기물처리원료재생업,89315,2616,80287,5873,539
건설업,1059721,71729,541460,423379,23153
도매및소매업,2782007,1067941,1236702,304729,172635
운수및창고업,1012741,345380,545777,40000,81584
숙박및음식점업,1909081,947086,424766,512016,25213
정보통신업,493205,12705,440402,30369,9729
금융및보험업,724771,5827,429234,23318,266392
부동산업,412396,96401,264160,30079,21756
전문과학및기술서비스업,814647,57842,708720,40226,7859
사업시설관리사업지원및임대서비스업,897401,34445,656967,167490,38499
공공행정국방및사회보장행정,637871,2,574638,60061,3170
교육서비스업,1475660,151992,984963,233958,104747
보건업및사회복지서비스업,1261722,103229,1030104,104641,23748
예술스포츠및여가관련서비스업,343790,121293,113168,86087,23242
협회및단체수리및기타개인서비스업,839925,322781,383439,84173,49532
