산업분류,종사자 수,자영업자무급가족,상용종사자,일용근로자,기타종사자
전체,21583421,3906292,14369940,2643012,664177
농업임업및어업,47481,0,35299,9980,2202
광업,13838,1552,11488,702,96
제조업,3984905,392581,3354402,213247,24675
전기가스증기및공기조절공급업,69138,2196,65549,1245,148
수도하수및폐기물처리원료재생업,115110,3625,104329,6636,520
건설업,1431792,94249,676950,639490,21103
도매및소매업,2962630,1006589,1552996,323236,79809
운수및창고업,1091939,393223,593317,46658,58741
숙박및음식점업,2023871,1033003,563175,418622,9071
정보통신업,620982,17302,565891,27690,10099
금융및보험업,680970,6868,466462,14981,192659
부동산업,510503,121769,337370,37401,13963
전문과학및기술서비스업,1159853,78469,999813,73848,7723
사업시설관리사업지원및임대서비스업,1108666,45988,853758,167280,41640
공공행정국방및사회보장행정,819440,0,735278,81869,2293
교육서비스업,1579773,163119,1167653,172776,76225
보건업및사회복지서비스업,2156232,77880,1743232,282257,52863
예술스포츠및여가관련서비스업,380824,124553,162946,66188,27137
협회및단체수리및기타개인서비스업,825474,343326,380032,58906,43210
