산업분류,종사자 수,자영업자무급가족,상용종사자,일용근로자,기타종사자
전체,16288226,3523407,9965448,2014704,784667
농업임업및어업,28687,67,18593,7307,2720
광업,17215,1777,13088,2309,41
제조업,3247881,339052,2632275,263461,13093
전기가스증기및공기조절공급업,52775,44,51375,1249,107
수도하수및폐기물처리원료재생업,80664,1870,71899,6144,751
건설업,885116,66188,506323,290246,22359
도매및소매업,2554013,1036219,1058186,282687,176921
운수및창고업,929684,326167,515252,40477,47788
숙박및음식점업,1721990,901157,355816,427649,37368
정보통신업,427382,8950,381897,29191,7344
금융및보험업,672222,5852,397891,19605,248874
부동산업,403852,96661,262576,30360,14255
전문과학및기술서비스업,691543,50161,596057,39217,6108
사업시설관리사업지원및임대서비스업,716917,31768,535942,109931,39276
공공행정국방및사회보장행정,574074,1,517574,54669,1830
교육서비스업,1317285,147188,879062,197395,93640
보건업및사회복지서비스업,891093,78875,740572,60929,10717
예술스포츠및여가관련서비스업,312358,122326,96748,73674,19610
협회및단체수리및기타개인서비스업,763475,309084,334322,78204,41865
