산업분류,종사자수,자영업자무급가족,상용종사자,일용근로자,기타종사자
전체,17646973,3550264,10699035,2529432,868242
농업임업및어업,29433,23,18832,5852,4726
광업,15981,1931,12621,1334,95
제조업,3422439,341097,2781747,287274,12321
전기가스증기및공기조절공급업,51562,36,50453,991,82
수도하수및폐기물처리원료재생업,84132,2081,75205,6486,360
건설업,1176826,66466,539971,549494,20895
도매및소매업,2618185,1025370,1115090,303343,174382
운수및창고업,989773,331551,529767,42217,86238
숙박및음식점업,1760917,904678,369813,456966,29460
정보통신업,464158,9827,409815,35730,8786
금융및보험업,714769,5871,428044,21954,258900
부동산업,417457,97388,267638,29829,22602
전문과학및기술서비스업,769087,50546,659451,48297,10793
사업시설관리사업지원및임대서비스업,830441,31781,600169,151971,46520
공공행정국방및사회보장행정,662894,2,565563,95004,2325
교육서비스업,1430894,152588,950519,232152,95635
보건업및사회복지서비스업,1097838,89653,889204,98178,20803
예술스포츠및여가관련서비스업,319954,123778,101140,75420,19616
협회및단체수리및기타개인서비스업,790233,315597,333993,86940,53703
