산업분류,종사자 수,자영업자무급가족,상용종사자,일용근로자,기타종사자
전체,16817946,3522626,10249535,2214289,831496
농업임업및어업,30238,55,20296,5983,3904
광업,16571,1871,13332,1309,59
제조업,3262933,336458,2639355,274359,12761
전기가스증기및공기조절공급업,51727,44,50177,1036,470
수도하수및폐기물처리원료재생업,82872,1923,73590,6922,437
건설업,902802,65608,506706,313743,16745
도매및소매업,2618346,1027863,1106565,309354,174564
운수및창고업,976105,328443,551228,44157,52277
숙박및음식점업,1755201,901318,363774,455516,34593
정보통신업,432928,8628,385045,31841,7414
금융및보험업,692071,5755,411016,19321,255979
부동산업,411358,96868,259348,36353,18789
전문과학및기술서비스업,732048,49577,638603,36685,7183
사업시설관리사업지원및임대서비스업,745494,31069,539229,127382,47814
공공행정국방및사회보장행정,657680,1,550614,103696,3369
교육서비스업,1363740,148713,899907,213532,101588
보건업및사회복지서비스업,981216,82696,801711,74701,22108
예술스포츠및여가관련서비스업,321267,123691,98365,76086,23125
협회및단체수리및기타개인서비스업,783349,312045,340674,82313,48317
