산업분류,종사자수,자영업자무급가족,상용종사자,일용근로자,기타종사자
전체,19173387,3732286,12220310,2362557,858234
농업임업및어업,34202,8,24468,6725,3001
광업,15415,1974,12156,1183,102
제조업,3825678,364644,3203250,240594,17190
전기가스증기및공기조절공급업,53595,107,52491,893,104
수도하수및폐기물처리원료재생업,95103,2704,86168,5475,756
건설업,1045603,73513,574770,376573,20747
도매및소매업,2885740,1068863,1348754,307473,160650
운수및창고업,1015915,351557,537019,38844,88495
숙박및음식점업,1986673,960084,459913,542163,24513
정보통신업,509785,12944,457600,30196,9045
금융및보험업,707246,5799,433276,18249,249922
부동산업,421102,95804,275072,29285,20941
전문과학및기술서비스업,865241,58384,767075,33500,6282
사업시설관리사업지원및임대서비스업,983585,35511,755023,152137,40914
공공행정국방및사회보장행정,645053,1,578555,64078,2419
교육서비스업,1498539,152370,1015304,224317,106548
보건업및사회복지서비스업,1367805,105450,1117515,117988,26852
예술스포츠및여가관련서비스업,359129,119286,124791,87370,27682
협회및단체수리및기타개인서비스업,857978,323283,397110,85514,52071
