"H. 운수업(49~52)","전학력","전체","전체",44.6,6.8,22.4,201.0,177.6,23.3,-,2325,1958,1690,268,366,4396,474604,45.3,6.9,22.2,201.2,175.1,26.1,-,2381,2040,1748,291,341,4094,515761,44.3,7.2,22.2,189.4,172.5,16.9,-,2622,2195,1988,207,427,5120,499424,45.0,7.3,21.6,183.4,165.2,18.2,-,2805,2356,2119,237,449,5393,506009,46.0,7.6,21.4,179.4,162.8,16.7,-,2858,2427,2172,255,431,5178,506727,46.5,7.6,21.2,185.3,165.8,19.5,-,2918,2484,2203,281,434,5205,497127,46.9,7.7,22.2,183.4,172.4,10.9,5.0,2978,2597,2313,283,382,4581,504296,47.6,8.1,21.9,184.3,167.3,17.0,4.9,3075,2679,2393,286,395,4745,584672,47.7,8.0,21.6,182.7,166.5,16.2,4.5,3271,2857,2566,290,414,4968,552762,48.2,8.2,20.8,167.6,152.0,15.6,4.7,3291,2895,2582,313,396,4753,541018,48.4,8.2,20.5,163.1,150.1,13.0,4.5,3393,2978,2703,275,415,4979,550070
"I. 숙박및음식점업(55~56)","전학력","전체","전체",37.5,3.3,23.8,206.2,196.6,9.6,-,1701,1564,1484,80,137,1646,164822,37.8,3.4,23.4,202.3,192.9,9.4,-,1715,1582,1503,79,132,1590,183586,38.5,3.4,22.9,197.0,187.6,9.4,-,1801,1653,1561,92,148,1774,185257,39.9,3.6,22.8,197.1,187.8,9.3,-,1834,1705,1614,91,129,1545,210954,40.2,3.6,22.4,190.4,180.6,9.8,-,1904,1770,1672,97,134,1613,216979,39.0,2.9,21.8,188.0,176.1,11.9,-,1898,1775,1647,128,122,1470,234048,39.6,3.0,22.5,184.5,179.3,5.2,2.6,1902,1800,1677,123,102,1228,262539,40.3,3.0,22.5,189.1,177.7,11.4,2.7,1971,1884,1746,139,87,1039,306638,39.5,2.7,21.9,182.6,172.0,10.6,2.7,2005,1915,1776,139,90,1077,308955,41.0,3.0,21.4,174.5,164.3,10.2,3.9,2165,2084,1929,155,81,968,313264,42.7,3.4,21.6,175.3,165.4,9.9,3.2,2339,2260,2101,159,80,956,350695
"J. 출판,영상,방송통신및정보서비스업(58~63)","전학력","전체","전체",36.4,7.7,22.3,182.7,174.9,7.8,-,3479,2942,2840,103,537,6445,313587,36.6,7.5,21.7,179.1,170.6,8.5,-,3577,3058,2949,109,519,6223,321809,35.8,6.5,21.3,173.6,167.6,6.0,-,3654,3171,3094,77,483,5792,353567,36.0,6.3,20.3,164.9,160.6,4.4,-,3623,3197,3135,62,426,5117,365866,36.7,6.8,19.3,157.9,153.0,4.9,-,3849,3389,3315,74,460,5517,375070,36.3,6.1,19.6,161.8,154.8,7.0,-,3747,3325,3214,111,421,5057,395935,36.6,6.0,22.0,176.9,174.3,2.7,1.5,3804,3415,3317,98,389,4667,407648,37.0,6.4,21.0,171.4,166.4,5.0,1.2,3951,3494,3398,95,457,5488,432246,36.5,6.2,20.9,171.1,164.8,6.3,1.3,4141,3639,3497,142,503,6032,428506,37.1,6.6,19.2,158.7,151.3,7.4,1.5,4359,3890,3710,180,469,5629,440641,37.3,6.6,19.1,156.9,150.9,6.0,1.1,4512,4021,3863,158,491,5888,468790
"K. 금융및보험업(64~66)","전학력","전체","전체",36.7,10.3,21.9,178.5,173.8,4.6,-,4149,3011,2922,90,1137,13648,357090,37.3,10.4,21.0,172.7,167.7,5.0,-,4244,3136,3042,94,1108,13294,369053,37.5,10.2,21.1,171.6,167.6,4.0,-,4554,3344,3262,82,1209,14513,389158,37.6,10.1,20.0,164.5,159.8,4.7,-,4664,3515,3421,94,1149,13792,397821,38.2,10.4,19.0,156.0,150.9,5.1,-,4777,3602,3491,111,1175,14099,384565,38.4,10.8,19.2,157.5,152.2,5.3,-,4985,3844,3722,122,1141,13698,390856,38.7,10.9,21.8,174.9,174.0,0.9,0.6,5034,3856,3746,109,1179,14145,392942,39.0,11.0,20.9,171.1,166.2,5.0,0.5,5477,4092,3974,118,1385,16622,410262,39.6,11.5,20.8,170.4,165.8,4.6,0.3,5397,4072,3967,105,1325,15903,395558,39.8,11.8,18.9,155.1,150.6,4.5,0.3,5658,4227,4099,128,1431,17167,396470,40.2,11.6,19.0,154.4,150.3,4.1,0.4,5927,4418,4297,121,1508,18101,407578
"L. 부동산업및임대업(68~69)","전학력","전체","전체",50.4,4.4,20.5,224.3,220.9,3.4,-,1903,1729,1680,49,175,2096,214312,51.1,4.3,20.5,219.8,217.6,2.2,-,1890,1733,1684,49,157,1879,215613,50.5,4.0,20.3,209.3,205.6,3.7,-,2003,1832,1779,53,171,2051,214760,51.0,4.0,19.9,200.6,196.1,4.4,-,2000,1871,1815,56,129,1548,219178,52.0,4.2,19.3,195.3,192.1,3.2,-,2092,1961,1910,51,130,1566,214598,54.1,4.2,19.1,193.1,189.7,3.4,-,2097,1959,1900,60,138,1656,226871,54.6,4.6,20.4,197.8,196.7,1.0,0.6,2199,2069,2012,57,131,1568,241927,54.4,4.6,19.9,193.2,190.6,2.6,0.4,2436,2255,2193,62,181,2172,257504,53.1,4.7,20.2,189.9,186.4,3.5,0.7,2597,2439,2363,76,158,1894,268572,53.5,4.8,18.9,173.8,170.8,3.0,0.5,2725,2545,2473,72,180,2160,275119,54.7,4.8,18.8,169.8,166.9,3.0,0.6,2756,2579,2505,74,177,2129,284142
"M. 전문,과학및기술서비스업(70~73)","전학력","전체","전체",36.6,5.4,22.2,181.1,175.7,5.4,-,3352,2944,2874,70,408,4892,507749,36.9,5.4,21.6,177.2,171.7,5.5,-,3379,2974,2901,73,404,4853,557908,37.4,5.9,21.3,174.0,167.8,6.1,-,3603,3119,3031,88,483,5799,563712,37.4,6.1,20.3,166.7,161.0,5.6,-,3767,3306,3230,76,461,5529,627972,38.1,6.5,19.4,158.5,154.2,4.3,-,3918,3423,3351,73,495,5940,602380,38.1,6.4,19.7,161.1,155.8,5.3,-,4032,3472,3387,86,560,6715,668909,38.5,6.6,22.0,177.5,174.6,2.8,1.5,4154,3650,3517,133,505,6057,725923,39.2,7.0,21.1,173.0,166.7,6.3,1.3,4328,3659,3557,102,669,8030,767225,39.0,6.5,20.9,170.3,165.5,4.8,1.1,4454,3805,3709,96,649,7788,765885,39.2,6.7,19.3,157.2,152.9,4.3,1.1,4628,3929,3817,111,699,8390,774447,39.7,6.9,19.1,156.6,151.4,5.2,0.8,4803,4102,3979,123,701,8409,826555
"N. 사업시설관리및사업지원서비스업(74~75)","전학력","전체","전체",36.8,4.8,22.1,192.3,176.3,16.0,-,2389,2026,1877,149,363,4357,474835,37.2,4.7,21.9,186.9,171.4,15.5,-,2367,2055,1907,149,311,3734,483805,41.9,4.8,22.0,185.3,172.1,13.1,-,2374,2095,1943,152,279,3350,552851,39.8,4.6,21.0,179.1,164.7,14.4,-,2328,2086,1932,154,242,2902,580845,40.7,4.7,20.4,172.7,157.8,14.9,-,2379,2140,1954,186,239,2863,604533,41.0,4.2,20.4,173.9,158.6,15.3,-,2540,2311,2129,181,229,2752,696976,41.6,4.5,22.3,182.3,174.0,8.3,4.1,2577,2338,2174,164,239,2864,720243,41.7,4.8,21.3,177.7,166.1,11.6,3.8,2656,2431,2261,170,224,2693,799908,41.0,4.6,21.4,176.7,166.5,10.2,3.9,2722,2493,2331,162,229,2753,836712,40.9,4.8,19.8,162.0,151.9,10.1,4.2,2863,2655,2497,158,208,2495,874672,41.8,5.1,19.5,159.3,150.5,8.7,2.9,3047,2804,2646,158,243,2911,877505
"P. 교육서비스업(85)","전학력","전체","전체",40.5,7.6,22.2,177.6,172.6,5.0,-,2982,2707,2655,53,274,3294,336544,40.7,7.6,21.8,178.0,172.6,5.4,-,3052,2776,2721,55,276,3316,355764,40.7,8.1,21.4,171.4,166.9,4.5,-,3273,2981,2928,53,292,3509,369693,41.1,8.0,20.2,163.7,159.1,4.6,-,3237,2991,2938,53,246,2958,393310,41.6,8.2,19.1,154.3,149.7,4.6,-,3339,3056,3002,55,283,3392,380668,41.7,8.0,19.1,153.6,149.1,4.5,-,3445,3124,3070,54,321,3848,402171,42.0,7.8,21.1,165.1,163.9,1.1,0.5,3358,3107,3057,50,251,3009,404512,42.3,7.9,20.7,164.8,160.3,4.5,0.7,3415,3200,3138,62,216,2587,431796,42.8,8.3,20.6,163.2,159.6,3.6,0.4,3722,3446,3389,58,276,3306,432521,43.3,8.5,19.0,150.1,146.6,3.5,0.5,3768,3469,3413,57,298,3582,440609,43.6,8.6,18.3,143.7,139.9,3.7,0.6,3864,3582,3522,61,282,3381,439718
"Q. 보건업및사회복지서비스업(86~87)","전학력","전체","전체",35.7,4.7,23.0,190.0,181.7,8.4,-,2339,2009,1914,94,330,3960,567817,36.2,4.7,23.0,189.3,180.4,8.8,-,2420,2101,1998,103,319,3834,629048,37.4,4.2,22.3,180.7,172.9,7.8,-,2386,2125,2024,101,261,3127,697191,38.3,4.5,21.6,174.4,166.2,8.2,-,2490,2267,2153,114,224,2683,753880,38.9,4.7,21.0,170.9,162.2,8.7,-,2570,2334,2214,121,235,2825,808865,39.5,4.5,20.7,168.5,160.2,8.3,-,2463,2268,2143,125,195,2342,883148,40.3,4.6,22.3,176.2,173.3,2.9,1.7,2519,2323,2198,126,196,2350,955952,40.9,4.8,21.7,173.3,165.9,7.4,2.0,2544,2354,2229,125,190,2278,1034123,41.5,4.5,21.5,170.7,163.7,6.9,1.5,2652,2476,2352,125,175,2105,1104692,42.0,4.6,20.2,158.9,152.5,6.4,1.5,2769,2584,2457,127,185,2218,1190247,42.7,4.6,19.9,154.3,148.3,6.1,1.4,2867,2680,2548,132,186,2235,1276640
"R. 예술,스포츠및여가관련서비스업(90~91)","전학력","전체","전체",37.6,4.7,21.5,185.5,172.9,12.6,-,2293,1957,1807,150,336,4027,60334,38.0,4.9,21.9,183.8,171.4,12.4,-,2330,2014,1863,151,316,3794,65642,38.1,5.0,22.1,183.1,169.9,13.2,-,2419,2131,1965,166,288,3456,68849,38.3,4.8,22.0,180.0,166.4,13.6,-,2498,2209,2036,173,289,3469,75429,38.9,5.2,21.1,175.2,160.4,14.8,-,2506,2249,2049,200,257,3082,76301,39.3,5.2,20.9,173.8,161.9,11.9,-,2576,2341,2166,175,235,2816,85103,39.4,5.1,21.9,176.3,169.9,6.5,4.0,2526,2306,2124,181,220,2639,86235,40.8,5.4,21.9,178.7,168.8,9.9,3.9,2623,2451,2284,167,172,2062,89567,40.7,5.2,21.8,180.1,168.2,11.9,4.7,2859,2648,2427,221,211,2530,92560,41.2,5.3,20.5,166.5,156.2,10.3,4.5,2944,2738,2542,196,206,2477,98627,41.7,5.6,20.4,164.6,155.7,8.9,3.8,3075,2844,2650,195,231,2770,110651
"S. 협회및단체,수리및기타개인서비스업(94~96)","전학력","전체","전체",38.9,5.1,23.8,195.3,190.4,4.8,-,2155,1904,1846,58,251,3013,186321,39.1,4.7,23.6,192.6,187.2,5.4,-,2144,1921,1861,59,223,2681,197823,41.5,4.9,22.9,183.3,177.5,5.8,-,2255,1992,1920,72,263,3160,205083,42.0,4.5,22.1,175.7,169.1,6.6,-,2234,2039,1961,77,195,2340,228162,42.3,5.0,21.6,173.6,166.4,7.2,-,2380,2141,2051,91,239,2866,235405,43.9,4.9,21.1,164.0,155.8,8.2,-,2382,2114,1990,124,268,3212,254257,44.8,4.7,22.9,171.2,167.5,3.6,2.1,2269,2074,1984,90,195,2345,265519,44.8,4.9,22.0,167.1,160.7,6.4,2.2,2369,2158,2066,92,211,2526,272424,44.6,5.2,21.9,170.6,164.2,6.4,2.1,2603,2371,2270,101,231,2777,284208,44.8,5.2,21.0,161.3,155.1,6.2,2.4,2704,2487,2378,110,216,2593,291119,45.1,5.4,20.5,158.0,152.2,5.8,2.1,2838,2613,2502,111,225,2701,300592
