산업분류,사업체수,종사자수,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자
전체,3355459,17646973,3180319,12433786,41222,2292606,133918,2920581
농업임업및어업,2253,29433,1674,17613,120,3036,459,8784
광업,1752,15981,1590,10105,55,1121,107,4755
제조업,336908,3422439,318438,2106343,8944,625243,9526,690853
전기가스증기및공기조절공급업,951,51562,189,1925,59,9943,703,39694
수도하수및폐기물처리원료재생업,5996,84132,5117,64809,246,6788,633,12535
건설업,98859,1176826,93335,896471,3069,213609,2455,66746
도매및소매업,873632,2618185,827814,2023136,9148,206589,36670,388460
운수및창고업,347289,989773,337995,705525,2167,133500,7127,150748
숙박및음식점업,636278,1760917,628002,1613967,752,26758,7524,120192
정보통신업,26299,464158,22583,273192,1298,121379,2418,69587
금융및보험업,39485,714769,9133,66528,3632,179485,26720,468756
부동산업,114006,417457,108726,330612,1225,39369,4055,47476
전문과학및기술서비스업,70372,769087,60470,370349,3947,237954,5955,160784
사업시설관리사업지원및임대서비스업,48268,830441,39224,452730,2517,225678,6527,152033
공공행정국방및사회보장행정,11869,662894,11736,656493,28,3755,105,2646
교육서비스업,166527,1430894,157259,1047701,1413,148466,7855,234727
보건업및사회복지서비스업,108081,1097838,102504,821024,1111,67297,4466,209517
예술스포츠및여가관련서비스업,101745,319954,100389,269427,266,18879,1090,31648
협회및단체수리및기타개인서비스업,364889,790233,354141,705836,1225,23757,9523,60640
