산업분류,사업체수,종사자수,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3355459,17646973,2804612,5075161,283153,1841398,142499,1894082,82250,2463742,27102,1856784,12552,1960673,1685,639969,1042,704532,564,1210632
농업임업및어업,2253,29433,869,2078,547,3679,460,6095,282,8485,71,4895,23,3327,0,0,1,0,0,0
광업,1752,15981,1193,2970,179,1215,205,2889,150,4369,17,1134,4,569,1,0,3,2450,0,0
제조업,336908,3422439,221869,465940,52725,356913,31996,432570,20778,622405,5805,396916,3142,493707,304,114412,173,114890,116,424686
전기가스증기및공기조절공급업,951,51562,313,747,154,1058,49,678,187,6315,148,10723,70,11851,16,5786,8,5664,6,8740
수도하수및폐기물처리원료재생업,5996,84132,2335,5918,1352,9031,1080,14753,930,28159,228,15256,69,10282,2,0,0,0,0,0
건설업,98859,1176826,57576,117049,17396,116136,12163,163523,8125,242258,2172,146646,1089,174235,186,69974,107,73799,45,73206
도매및소매업,873632,2618185,786570,1435821,55478,352827,20379,266350,8440,238322,1733,118181,891,133475,97,35869,34,21994,10,15346
운수및창고업,347289,989773,329489,359528,6473,42861,4667,63444,3711,114120,1525,106086,1267,202978,102,38499,44,28838,11,33419
숙박및음식점업,636278,1760917,583121,1221273,39709,249395,9821,125278,2857,82556,613,40388,125,20680,17,7098,11,7886,4,6363
정보통신업,26299,464158,12826,30319,5595,36408,3503,46769,2658,81465,951,65604,606,95817,93,34658,49,32192,18,40926
금융및보험업,39485,714769,10564,24381,9525,66656,10591,139656,6703,208242,1568,100703,378,57672,83,31545,40,27005,33,58909
부동산업,114006,417457,95297,155769,11003,72055,5266,69074,1963,56069,324,21321,119,17990,18,6357,8,5517,8,13305
전문과학및기술서비스업,70372,769087,43918,101562,14636,93208,6244,82941,3507,105092,1115,76035,702,116308,129,49501,78,53251,43,91189
사업시설관리사업지원및임대서비스업,48268,830441,33252,65481,5074,32948,3640,49156,3320,101563,1377,94822,1150,192282,234,89953,159,106587,62,97649
공공행정국방및사회보장행정,11869,662894,1947,3643,1477,10877,3486,49599,2845,85699,993,65347,627,106446,217,84029,192,131694,85,125560
교육서비스업,166527,1430894,126210,227294,16441,105599,9240,124844,7423,229076,5887,416926,1104,144160,88,34251,80,54629,54,94115
보건업및사회복지서비스업,108081,1097838,58855,182126,29082,185949,12442,161089,4960,149702,1779,122917,784,117995,63,24195,51,34706,65,119159
예술스포츠및여가관련서비스업,101745,319954,95286,168175,3532,22488,1400,18567,920,27731,301,20608,271,41850,27,9919,4,2556,4,8060
협회및단체수리및기타개인서비스업,364889,790233,343122,505087,12775,82095,5867,76807,2491,72114,495,32276,131,19049,8,2805,0,0,0,0
