산업분류,사업체수,종사자수,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,4019872,21626904,3228202,5847700,466829,2989161,178231,2354201,97545,2905930,30284,2058541,14758,2308801,2093,792484,1257,864717,673,1505369
농업임업및어업,3880,40642,1787,3989,1058,6953,554,7484,363,10983,89,6172,27,3814,1,0,1,0,0,0
광업,2001,15421,1387,3120,266,1814,166,2377,156,4664,18,1161,5,662,1,0,2,0,0,0
제조업,433684,4103986,275223,582859,89041,603973,34512,465406,23903,714981,6880,473410,3438,545202,372,141339,192,128963,123,447853
전기가스증기및공기조절공급업,1829,61185,999,2137,209,1377,106,1421,239,8153,163,11402,82,14420,18,6737,7,5397,6,10141
수도하수및폐기물처리원료재생업,8533,103413,3994,9476,1839,12015,1260,17153,1101,33874,258,17279,77,11508,3,1024,0,0,1,0
건설업,138478,1438640,77230,176838,31434,206553,19192,250946,7351,211786,1659,109932,1221,195199,211,79249,119,81239,61,126898
도매및소매업,1022739,3173320,897145,1644100,88078,545886,24506,318638,9814,279773,1994,133193,1041,158271,101,37441,43,31924,17,24094
운수및창고업,386919,1115990,363398,394777,9225,60545,6364,85240,4598,140154,1805,122420,1391,217522,88,32550,39,27792,11,34990
숙박및음식점업,747577,2214879,649333,1366699,80150,489209,13879,173797,3380,98101,645,41173,149,23815,26,9964,11,7072,4,5049
정보통신업,42887,575886,25281,51472,8004,51690,4497,59822,3142,95445,1045,71217,732,117743,121,45702,41,26261,24,56534
금융및보험업,43514,726907,13254,29422,10614,72986,10716,141693,6990,215582,1380,88051,411,65663,62,23418,55,36130,32,53962
부동산업,152083,504790,128651,209065,15191,97332,5922,76843,1853,52510,275,18093,146,21684,27,10568,10,6731,8,11964
전문과학및기술서비스업,104252,1010154,67164,141848,21637,138756,8666,113122,4401,129514,1299,88341,762,124747,172,65570,104,69623,47,138633
사업시설관리사업지원및임대서비스업,68177,1168096,46718,89214,8356,53835,4853,65681,4473,135671,1712,118183,1359,231986,338,128528,272,186658,96,158340
공공행정국방및사회보장행정,12488,706780,1805,3500,1515,10715,3489,51368,3498,103118,976,65327,687,113084,256,99646,179,129648,83,130374
교육서비스업,185275,1596963,137732,250732,21309,134923,10029,136353,8709,269098,6008,414812,1206,155130,123,46914,88,62034,71,126967
보건업및사회복지서비스업,145909,1782672,59839,175481,50917,324410,20580,270520,9526,285590,3244,221143,1492,228867,142,51694,85,57286,84,167681
예술스포츠및여가관련서비스업,118797,416781,104619,180544,9564,59912,2589,33726,1241,36613,385,27074,363,54875,24,8846,7,4386,5,10805
협회및단체수리및기타개인서비스업,400850,870399,372643,532427,18422,116277,6351,82611,2807,80320,449,30158,169,24609,7,2581,2,0,0,0
