산업분류,사업체수,종사자수,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,4325195,21583421,3587125,5699039,421489,2698584,170410,2255029,95325,2835504,31417,2162513,15144,2387245,2155,815186,1309,898552,821,1831769
농업임업및어업,5948,47481,3573,7074,1241,8239,625,8327,388,11804,85,5735,34,4797,1,0,0,0,1,0
광업,1654,13838,1084,2218,230,1558,165,2330,149,4373,20,1281,4,632,0,0,2,0,0,0
제조업,453257,3984905,306409,596293,77438,511705,35443,475726,23710,707275,6180,424742,3360,536685,393,147507,201,135186,123,449786
전기가스증기및공기조절공급업,4449,69138,3541,4330,271,1729,117,1610,210,7239,191,13570,83,14428,23,9138,5,3621,8,13473
수도하수및폐기물처리원료재생업,9627,115110,4767,10552,1993,13070,1308,17893,1138,35302,316,21179,102,14598,2,0,0,0,1,0
건설업,158401,1431792,105323,190847,28709,186916,13650,181267,7025,208121,2104,142645,1187,191004,187,69455,135,91939,81,169598
도매및소매업,1064434,2962630,947733,1484928,80003,501106,24336,315372,9273,263052,1924,129990,979,150869,116,43969,51,35174,19,38170
운수및창고업,420889,1091939,400728,429329,7944,51726,5219,70141,3995,122074,1698,119065,1129,177691,116,42171,37,25609,23,54133
숙박및음식점업,829555,2023871,744753,1286079,67598,417365,13688,171780,2922,82066,439,27617,119,19164,21,8037,12,8006,3,3757
정보통신업,49435,620982,31587,58846,8098,52390,4594,61339,3073,91684,1096,76194,782,130512,114,43038,62,41982,29,64997
금융및보험업,43242,680970,16566,33284,10137,69302,9163,120671,5297,162993,1469,95908,447,69213,71,26600,53,35513,39,67486
부동산업,177046,510503,153827,221575,15425,98814,5628,72695,1710,48003,268,17886,142,23738,27,10150,12,7828,7,9814
전문과학및기술서비스업,129778,1159853,90442,171614,22406,142040,9194,121462,4894,144548,1534,105183,936,153132,199,77235,117,81036,56,163603
사업시설관리사업지원및임대서비스업,77568,1108666,57512,97163,8124,52368,4487,61066,3999,120182,1531,105377,1306,218141,299,113200,205,141947,105,199222
공공행정국방및사회보장행정,12385,819440,1658,3182,1472,10648,2823,41733,3893,114281,1119,76832,861,140209,224,87507,209,146904,126,198144
교육서비스업,191529,1579773,147230,250562,19960,125864,8700,117650,7814,241661,6316,448333,1225,156792,123,46818,86,58468,75,133625
보건업및사회복지서비스업,149351,2156232,58727,165202,48617,314794,23252,308768,12097,363422,4275,292210,1949,310381,204,75821,112,77745,118,247889
예술스포츠및여가관련서비스업,123249,380824,111312,162799,7551,47600,2368,30927,1260,37242,396,27642,325,50147,23,8835,9,5473,5,10159
협회및단체수리및기타개인서비스업,423398,825474,400353,523162,14272,91350,5650,74272,2478,70182,456,31124,174,25112,12,4400,1,0,2,0
