산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,39.6,6.1,22.2,189.3,173.4,15.9,2454,2268,186,5537,8067180
농업임업및어업,43.5,8.7,22.1,178.7,174.6,4.1,2509,2466,43,6693,16137
광업,46.9,8.2,23.4,203.4,176.9,26.5,2745,2390,356,5090,12179
제조업,39.2,6.6,22.8,203.7,172.4,31.3,2352,2000,352,6903,2605919
전기가스증기및수도사업,41.4,14.5,21.5,184.8,170.3,14.5,3717,3433,283,16187,52475
하수폐기물처리원료재생및환경복원업,44.1,5.4,23.1,194.8,178.1,16.7,2306,2099,207,3111,52401
건설업,41.5,4.8,22.3,181.5,175.0,6.6,2536,2454,82,3406,476361
도매및소매업,37.3,4.9,22.4,186.2,177.4,8.8,2389,2290,99,4483,752163
운수업,44.3,7.2,22.2,189.4,172.5,16.9,2195,1988,207,5120,499424
숙박및음식점업,38.5,3.4,22.9,197.0,187.6,9.4,1653,1561,92,1774,185257
출판영상방송통신및정보서비스업,35.8,6.5,21.3,173.6,167.6,6.0,3171,3094,77,5792,353567
금융및보험업,37.5,10.2,21.1,171.6,167.6,4.0,3344,3262,82,14513,389158
부동산업및임대업,50.5,4.0,20.3,209.3,205.6,3.7,1832,1779,53,2051,214760
전문과학및기술서비스업,37.4,5.9,21.3,174.0,167.8,6.1,3119,3031,88,5799,563712
사업시설관리및사업지원서비스업,41.9,4.8,22.0,185.3,172.1,13.1,2095,1943,152,3350,552851
교육서비스업,40.7,8.1,21.4,171.4,166.9,4.5,2981,2928,53,3509,369693
보건업및사회복지서비스업,37.4,4.2,22.3,180.7,172.9,7.8,2125,2024,101,3127,697191
예술스포츠및여가관련서비스업,38.1,5.0,22.1,183.1,169.9,13.2,2131,1965,166,3456,68849
협회및단체수리및기타개인서비스업,41.5,4.9,22.9,183.3,177.5,5.8,1992,1920,72,3160,205083
